"term","category","topic"
"pick up","High modifier",""
"picked up","High modifier",""
"picking up","High modifier",""
"picks up","High modifier",""
"show growth","High modifier",""
"showed growth","High modifier",""
"showing growth","High modifier",""
"shows growth","High modifier",""
"upside risk","High modifier",""
"upside risks","High modifier",""
"upward risk","High modifier",""
"upward risks","High modifier",""
"upward trend","High modifier",""
"upward trends","High modifier",""
"upwards risk","High modifier",""
"upwards risks","High modifier",""
"upwards trend","High modifier",""
"upwards trends","High modifier",""
"downside risk","Low modifier",""
"downside risks","Low modifier",""
"downward risk","Low modifier",""
"downward risks","Low modifier",""
"downward trend ","Low modifier",""
"downward trends","Low modifier",""
"downwards risk","Low modifier",""
"downwards risks","Low modifier",""
"downwards trend","Low modifier",""
"downwards trends","Low modifier",""
"lagged behind","Low modifier",""
"lagging behind","Low modifier",""
"reversed increases","Low modifier",""
"require support","Negative modifier",""
"requires support","Negative modifier",""
"requiring support","Negative modifier",""
"aren t","Negator",""
"can t","Negator",""
"cannot be","Negator",""
"halt a","Negator",""
"halt an","Negator",""
"halt the","Negator",""
"halted the","Negator",""
"halting the","Negator",""
"halts the","Negator",""
"not a","Negator",""
"not allow","Negator",""
"not an","Negator",""
"not be","Negator",""
"not permit","Negator",""
"not the","Negator",""
"prevent a","Negator",""
"prevent an","Negator",""
"prevent the","Negator",""
"preventing a","Negator",""
"preventing an","Negator",""
"preventing the","Negator",""
"prevents a","Negator",""
"prevents an","Negator",""
"prevents the","Negator",""
"reversal of","Negator",""
"reverse a","Negator",""
"reverse an","Negator",""
"reverse the","Negator",""
"reversed a","Negator",""
"reversed an","Negator",""
"reversed the","Negator",""
"reverses a","Negator",""
"reverses an","Negator",""
"reverses the","Negator",""
"reversing a","Negator",""
"reversing an","Negator",""
"reversing the","Negator",""
"bank rate","Hawkish Keyword","Policy"
"board member","Hawkish Keyword","Policy"
"board members","Hawkish Keyword","Policy"
"central bank","Hawkish Keyword","Policy"
"central banks","Hawkish Keyword","Policy"
"committee member","Hawkish Keyword","Policy"
"committee members","Hawkish Keyword","Policy"
"core rates","Hawkish Keyword","Policy"
"deposit rates","Hawkish Keyword","Policy"
"interbank rate","Hawkish Keyword","Policy"
"interbank rates","Hawkish Keyword","Policy"
"interest rate","Hawkish Keyword","Policy"
"interest rates","Hawkish Keyword","Policy"
"lombard rate","Hawkish Keyword","Policy"
"market rates","Hawkish Keyword","Policy"
"monetary conditions","Hawkish Keyword","Policy"
"monetary policies","Hawkish Keyword","Policy"
"monetary policy","Hawkish Keyword","Policy"
"monetary stance","Hawkish Keyword","Policy"
"monetary stances","Hawkish Keyword","Policy"
"money demand","Hawkish Keyword","Policy"
"money supply","Hawkish Keyword","Policy"
"policy action","Hawkish Keyword","Policy"
"policy actions","Hawkish Keyword","Policy"
"policy decision","Hawkish Keyword","Policy"
"policy decisions","Hawkish Keyword","Policy"
"policy instrument","Hawkish Keyword","Policy"
"policy instruments","Hawkish Keyword","Policy"
"policy rate","Hawkish Keyword","Policy"
"policy rates","Hawkish Keyword","Policy"
"policy stance","Hawkish Keyword","Policy"
"policy stances","Hawkish Keyword","Policy"
"repo rate","Hawkish Keyword","Policy"
"repo rates","Hawkish Keyword","Policy"
"reserve bank","Hawkish Keyword","Policy"
"selic rate","Hawkish Keyword","Policy"
"swap rates","Hawkish Keyword","Policy"
"aggregate demand","Hawkish Keyword","Growth"
"capacity utilisation","Hawkish Keyword","Growth"
"capacity utilization","Hawkish Keyword","Growth"
"capital expenditure","Hawkish Keyword","Growth"
"capital formation","Hawkish Keyword","Growth"
"capital investment","Hawkish Keyword","Growth"
"capital spending","Hawkish Keyword","Growth"
"consumer spending","Hawkish Keyword","Growth"
"consumption expenditure","Hawkish Keyword","Growth"
"demand side","Hawkish Keyword","Growth"
"disposable income","Hawkish Keyword","Growth"
"domestic demand","Hawkish Keyword","Growth"
"domestic economy","Hawkish Keyword","Growth"
"domestic growth","Hawkish Keyword","Growth"
"economic activity","Hawkish Keyword","Growth"
"economic conditions","Hawkish Keyword","Growth"
"economic development","Hawkish Keyword","Growth"
"economic growth","Hawkish Keyword","Growth"
"economic output","Hawkish Keyword","Growth"
"economic recovery","Hawkish Keyword","Growth"
"employment growth","Hawkish Keyword","Growth"
"expenditure growth","Hawkish Keyword","Growth"
"gdp growth","Hawkish Keyword","Growth"
"growth expectations","Hawkish Keyword","Growth"
"growth forecast","Hawkish Keyword","Growth"
"growth forecasts","Hawkish Keyword","Growth"
"growth outlook","Hawkish Keyword","Growth"
"growth prospects","Hawkish Keyword","Growth"
"household consumption","Hawkish Keyword","Growth"
"household income","Hawkish Keyword","Growth"
"household spending","Hawkish Keyword","Growth"
"industrial production","Hawkish Keyword","Growth"
"labor market","Hawkish Keyword","Growth"
"labour market","Hawkish Keyword","Growth"
"labour productivity","Hawkish Keyword","Growth"
"output gap","Hawkish Keyword","Growth"
"output growth","Hawkish Keyword","Growth"
"private consumption","Hawkish Keyword","Growth"
"retail sales","Hawkish Keyword","Growth"
"services sector","Hawkish Keyword","Growth"
"supply side","Hawkish Keyword","Growth"
"commodity price","Hawkish Keyword","Prices"
"commodity prices","Hawkish Keyword","Prices"
"consumer price","Hawkish Keyword","Prices"
"consumer prices","Hawkish Keyword","Prices"
