"term","category","topic"
"above","High modifier",""
"accelerate","High modifier",""
"accelerated","High modifier",""
"accelerates","High modifier",""
"accelerating","High modifier",""
"added","High modifier",""
"augment","High modifier",""
"augmented","High modifier",""
"augmenting","High modifier",""
"augments","High modifier",""
"big","High modifier",""
"bigger","High modifier",""
"biggest","High modifier",""
"boost","High modifier",""
"boosted","High modifier",""
"boosting","High modifier",""
"boosts","High modifier",""
"brighter","High modifier",""
"buoy","High modifier",""
"buoyant","High modifier",""
"buoyed","High modifier",""
"buoying","High modifier",""
"buoys","High modifier",""
"climb","High modifier",""
"climbed","High modifier",""
"climbing","High modifier",""
"climbs","High modifier",""
"elevate","High modifier",""
"elevated","High modifier",""
"elevates","High modifier",""
"elevating","High modifier",""
"escalate","High modifier",""
"escalated","High modifier",""
"escalates","High modifier",""
"escalating","High modifier",""
"exceed","High modifier",""
"exceeded","High modifier",""
"exceeding","High modifier",""
"exceeds","High modifier",""
"excessive","High modifier",""
"expand","High modifier",""
"expanded","High modifier",""
"expanding","High modifier",""
"expands","High modifier",""
"expansionary","High modifier",""
"fast","High modifier",""
"faster","High modifier",""
"fastest","High modifier",""
"further","High modifier",""
"furthering","High modifier",""
"gain","High modifier",""
"gained","High modifier",""
"gaining","High modifier",""
"grew","High modifier",""
"grow","High modifier",""
"growing","High modifier",""
"grown","High modifier",""
"grows","High modifier",""
"hawk","High modifier",""
"hawkish","High modifier",""
"high","High modifier",""
"higher","High modifier",""
"highest","High modifier",""
"hike","High modifier",""
"hikes","High modifier",""
"hiking","High modifier",""
"impulse","High modifier",""
"impulsed","High modifier",""
"impulses","High modifier",""
"impulsing","High modifier",""
"increase","High modifier",""
"increased","High modifier",""
"increases","High modifier",""
"increasing","High modifier",""
"inflationary","High modifier",""
"large","High modifier",""
"larger","High modifier",""
"largest","High modifier",""
"lift","High modifier",""
"lifted","High modifier",""
"lifting","High modifier",""
"lifts","High modifier",""
"maximum","High modifier",""
"more","High modifier",""
"mount","High modifier",""
"mounted","High modifier",""
"mounting","High modifier",""
"mounts","High modifier",""
"peak","High modifier",""
"peaked","High modifier",""
"peaking","High modifier",""
"peaks","High modifier",""
"raise","High modifier",""
"raised","High modifier",""
"raises","High modifier",""
"raising","High modifier",""
"ramp","High modifier",""
"ramped","High modifier",""
"ramping","High modifier",""
"ramps","High modifier",""
"rapid","High modifier",""
"rise","High modifier",""
"risen","High modifier",""
"rises","High modifier",""
"rising","High modifier",""
"rose","High modifier",""
"skyrocket","High modifier",""
"skyrocketed","High modifier",""
"skyrocketing","High modifier",""
"skyrockets","High modifier",""
"spike","High modifier",""
"spiked","High modifier",""
"spikes","High modifier",""
"spiking","High modifier",""
"spur","High modifier",""
"spurred","High modifier",""
"spurring","High modifier",""
"spurs","High modifier",""
"strengthen","High modifier",""
"strengthened","High modifier",""
"strengthening","High modifier",""
"strengthens","High modifier",""
"strong","High modifier",""
"stronger","High modifier",""
"strongest","High modifier",""
"surge","High modifier",""
"surged","High modifier",""
"surges","High modifier",""
"surging","High modifier",""
"swifter","High modifier",""
"tighten","High modifier",""
"tightened","High modifier",""
"tightening","High modifier",""
"tightens","High modifier",""
"tighter","High modifier",""
"upper","High modifier",""
"upside","High modifier",""
"upswing","High modifier",""
"upswinging","High modifier",""
"upswings","High modifier",""
"upswung","High modifier",""
"uptrend","High modifier",""
"upturn","High modifier",""
"upturned","High modifier",""
"upturning","High modifier",""
"upturns","High modifier",""
"upward","High modifier",""
"upwards","High modifier",""
"vigor","High modifier",""
"vigorous","High modifier",""
"widen","High modifier",""
"widened","High modifier",""
"widening","High modifier",""
"widens","High modifier",""
"wider","High modifier",""
"accommodate","Positive modifier",""
"accommodated","Positive modifier",""
"accommodates","Positive modifier",""
"accommodating","Positive modifier",""
"benign","Positive modifier",""
"best","Positive modifier",""
"better","Positive modifier",""
"calm","Positive modifier",""
"calmed","Positive modifier",""
"calmer","Positive modifier",""
"calming","Positive modifier",""
"calms","Positive modifier",""
"depreciate","Positive modifier",""
"depreciated","Positive modifier",""
"depreciates","Positive modifier",""
"depreciating","Positive modifier",""
"depreciation","Positive modifier",""
"dynamic","Positive modifier",""
"ease","Positive modifier",""
"eased","Positive modifier",""
"eases","Positive modifier",""
"easing","Positive modifier",""
"encouraging","Positive modifier",""
"excellent","Positive modifier",""
"expansion","Positive modifier",""
"expansionary","Positive modifier",""
"expansive","Positive modifier",""
"favorable","Positive modifier",""
"favourable","Positive modifier",""
"firmer","Positive modifier",""
"good","Positive modifier",""
"great","Positive modifier",""
"greater","Positive modifier",""
"greatest","Positive modifier",""
"healthier","Positive modifier",""
"improve","Positive modifier",""
"improved","Positive modifier",""
"improves","Positive modifier",""
"improving","Positive modifier",""
"loose","Positive modifier",""
"loosen","Positive modifier",""
"loosened","Positive modifier",""
"loosening","Positive modifier",""
"loosens","Positive modifier",""
"looser","Positive modifier",""
