"Date","Standardized_score","Prices","Policy","Finance","Growth","Global","Other"
"1999/03/18",-1.10477133037193,-1.10477133037193,0,0,0,0,0
"1999/04/08",-0.978416116672885,0,-0.978416116672885,0,0,0,0
"1999/04/22",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"1999/05/06",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/05/20",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/06/02",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/06/17",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/07/01",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/07/15",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/07/29",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/08/26",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/09/09",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/09/23",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/10/07",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"1999/10/21",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"1999/11/04",2.74906268744887,0,2.74906268744887,0,0,0,0
"1999/11/18",0.127192003193738,0,0.127192003193738,0,0,0,0
"1999/12/02",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"1999/12/15",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/01/05",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/01/20",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/02/03",2.78065149087363,0,2.78065149087363,0,0,0,0
"2000/02/17",0.127192003193738,0,0.127192003193738,0,0,0,0
"2000/03/02",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/03/16",2.49635226005079,0.527778178436663,0.728102742514813,0.416058710008464,0.416058710008464,-0.00770479092608267,0.208029355004232
"2000/03/30",0.0324255929194562,0,0.0324255929194562,0,0,0,0
"2000/04/13",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/04/27",2.52794106347555,0.442389686108221,0.631985265868887,0.315992632934443,1.137573478564,0,0
"2000/05/11",-0.157107227629108,0,-0.157107227629108,0,0,0,0
"2000/05/25",0.127192003193738,0,0.127192003193738,0,0,0,0
"2000/06/08",1.67504337100701,0,1.67504337100701,0,0,0,0
"2000/06/21",-0.157107227629108,0,-0.157107227629108,0,0,0,0
