"Date","Uncertainty"
1999-03-18,NA
1999-04-08,NA
1999-04-22,NA
1999-05-06,NA
1999-05-20,NA
1999-06-02,NA
1999-06-17,NA
1999-07-01,9.9
1999-07-15,9.9
1999-07-29,9.9
1999-08-26,9.9
1999-09-09,9.9
1999-09-23,9.9
1999-10-07,13.8
1999-10-21,13.8
1999-11-04,13.8
1999-11-18,13.8
1999-12-02,13.8
1999-12-15,13.8
2000-01-05,7.3
2000-01-20,7.3
2000-02-03,7.3
2000-02-17,7.3
2000-03-02,7.3
2000-03-16,7.3
2000-03-30,7.3
2000-04-13,8.7
2000-04-27,8.7
2000-05-11,8.7
2000-05-25,8.7
2000-06-08,8.7
2000-06-21,8.7
2000-07-06,9.7
2000-07-20,9.7
2000-08-03,9.7
2000-08-31,9.7
2000-09-14,9.7
2000-10-05,10.7
2000-10-19,10.7
2000-11-02,10.7
2000-11-16,10.7
2000-11-30,10.7
2000-12-14,10.7
2001-01-04,9
2001-01-18,9
2001-02-01,9
2001-02-15,9
2001-03-01,9
2001-03-15,9
2001-03-29,9
2001-04-11,6.2
2001-04-26,6.2
2001-05-10,6.2
2001-05-23,6.2
2001-06-07,6.2
2001-06-21,6.2
2001-07-05,6.8
2001-07-19,6.8
2001-08-02,6.8
2001-08-30,6.8
2001-09-13,6.8
2001-09-17,6.8
2001-09-27,6.8
2001-10-11,13.6
2001-10-25,13.6
2001-11-08,13.6
2001-12-06,13.6
2002-01-03,16.7
2002-02-07,16.7
2002-03-07,16.7
2002-04-04,30.8
2002-05-02,30.8
2002-06-06,30.8
2002-07-04,30.6
2002-08-01,30.6
2002-09-12,30.6
2002-10-10,16.1
2002-11-07,16.1
2002-12-05,16.1
2003-01-09,22.2
2003-02-06,22.2
2003-03-06,22.2
2003-04-03,27.4
2003-05-08,27.4
2003-06-05,27.4
2003-07-10,13.6
2003-07-31,13.6
2003-09-04,13.6
2003-10-02,12.5
2003-11-06,12.5
2003-12-04,12.5
2004-01-08,21.1
2004-02-05,21.1
2004-03-04,21.1
2004-04-01,8.8
2004-05-06,8.8
2004-06-03,8.8
2004-07-01,10
2004-08-05,10
2004-09-02,10
2004-10-07,10.1
2004-11-04,10.1
2004-12-02,10.1
2005-01-13,7.8
2005-02-03,7.8
2005-03-03,7.8
2005-04-07,9.1
2005-05-04,9.1
2005-06-02,9.1
2005-07-07,5.9
2005-08-04,5.9
2005-09-01,5.9
2005-10-06,4.7
2005-11-03,4.7
2005-12-01,4.7
2006-01-12,10.2
2006-02-02,10.2
2006-03-02,10.2
2006-04-06,6.4
2006-05-04,6.4
2006-06-08,6.4
2006-07-06,4.9
2006-08-03,4.9
2006-08-31,4.9
2006-10-05,5.1
2006-11-02,5.1
2006-12-07,5.1
2007-01-11,7.4
2007-02-08,7.4
2007-03-08,7.4
2007-04-12,6.9
2007-05-10,6.9
2007-06-06,6.9
2007-07-05,8.2
2007-08-02,8.2
2007-09-06,8.2
2007-10-04,10.4
2007-11-08,10.4
2007-12-06,10.4
2008-01-10,5.6
2008-02-07,5.6
2008-03-06,5.6
2008-04-10,10.3
2008-05-08,10.3
2008-06-05,10.3
2008-07-03,11.7
2008-08-07,11.7
2008-09-04,11.7
2008-10-02,12.3
2008-10-08,12.3
2008-11-06,12.3
2008-12-04,12.3
2009-01-15,18
2009-02-05,18
2009-03-05,18
2009-04-02,19.4
2009-05-07,19.4
2009-06-04,19.4
2009-07-02,88.7
2009-08-06,88.7
2009-09-03,88.7
2009-10-08,141.2
2009-11-05,141.2
2009-12-03,141.2
2010-01-14,56.5
2010-02-04,56.5
2010-03-04,56.5
2010-04-08,36.7
2010-05-06,36.7
2010-06-10,36.7
2010-07-08,25.2
2010-08-05,25.2
2010-09-02,25.2
2010-10-07,12.7
2010-11-04,12.7
2010-12-02,12.7
2011-01-13,16.4
2011-02-03,16.4
2011-03-03,16.4
2011-04-07,13
2011-05-05,13
2011-06-09,13
2011-07-07,7.3
2011-08-04,7.3
2011-09-08,7.3
2011-10-06,5.3
2011-11-03,5.3
2011-12-08,5.3
2012-01-12,9.4
2012-02-09,9.4
2012-03-08,9.4
2012-04-04,24.1
2012-05-03,24.1
2012-06-06,24.1
2012-07-05,41.3
2012-08-02,41.3
2012-08-20,41.3
2012-10-04,21.8
2012-11-08,21.8
2012-12-06,21.8
2013-01-10,25.8
2013-02-07,25.8
2013-03-07,25.8
2013-04-04,17.3
2013-05-02,17.3
2013-06-06,17.3
2013-07-04,20.3
2013-08-01,20.3
2013-09-05,20.3
2013-10-02,8.7
2013-11-07,8.7
2013-12-05,8.7
2014-01-09,15.1
2014-02-06,15.1
2014-03-06,15.1
2014-04-03,12.2
2014-05-08,12.2
2014-06-05,12.2
2014-07-03,8.4
2014-08-07,8.4
2014-09-04,8.4
2014-10-02,7.8
2014-11-06,7.8
2014-12-04,7.8
2015-01-22,7.6
2015-03-05,7.6
2015-04-15,9
2015-06-03,9
2015-07-16,4.8
2015-09-03,4.8
2015-10-22,10.9
2015-12-03,10.9
2016-01-21,6.2
2016-03-10,6.2
2016-04-21,7.8
2016-06-02,7.8
2016-07-21,2.9
2016-09-08,2.9
2016-10-20,4.7
2016-12-08,4.7
2017-01-19,7
2017-03-09,7
2017-04-27,5.9
2017-06-08,5.9
2017-07-20,3.5
2017-09-07,3.5
