"Date","sentence_id","word_count","word_modifier","order_modifier","category_modifier","topic_modifier","word_keyword","order_keyword","category_keyword","topic_keyword","word_negator","order_negator","category_negator","topic_negator","distance","distance_negator","has_keyword","negator_in_front","score"
"1999-03-18",2,15,"favourable",15,"Positive modifier","","price",12,"Hawkish Keyword","Prices",NA,NA,NA,NA,3,NA,TRUE,FALSE,-1
"1999-04-08",2,21,"reduced",8,"Low modifier","","interest_rate",2,"Hawkish Keyword","Policy",NA,NA,NA,NA,6,NA,TRUE,FALSE,-1
"1999-04-08",2,21,"reduced",8,"Low modifier","","main_refinancing_operations",5,"Hawkish Keyword","Policy",NA,NA,NA,NA,3,NA,TRUE,FALSE,-1
"1999-04-08",3,16,"reduced",10,"Low modifier","","interest_rate",2,"Hawkish Keyword","Policy",NA,NA,NA,NA,8,NA,TRUE,FALSE,-1
"1999-04-08",3,16,"reduced",10,"Low modifier","","lending",6,"Hawkish Keyword","Finance",NA,NA,NA,NA,4,NA,TRUE,FALSE,-1
"1999-04-08",4,14,"reduced",8,"Low modifier","","interest_rate",2,"Hawkish Keyword","Policy",NA,NA,NA,NA,6,NA,TRUE,FALSE,-1
"1999-04-08",4,14,"reduced",8,"Low modifier","","deposit_facility",5,"Hawkish Keyword","Policy",NA,NA,NA,NA,3,NA,TRUE,FALSE,-1
"1999-04-22",2,17,"remain_unchanged",14,"Neutral Phrase","","interest_rates",2,"Hawkish Keyword","Policy",NA,NA,NA,NA,12,NA,TRUE,FALSE,0
"1999-04-22",2,17,"remain_unchanged",14,"Neutral Phrase","","main_refinancing_operations",5,"Hawkish Keyword","Policy",NA,NA,NA,NA,9,NA,TRUE,FALSE,0
"1999-04-22",2,17,"remain_unchanged",14,"Neutral Phrase","","lending",8,"Hawkish Keyword","Finance",NA,NA,NA,NA,6,NA,TRUE,FALSE,0
"1999-04-22",2,17,"remain_unchanged",14,"Neutral Phrase","","deposit_facility",12,"Hawkish Keyword","Policy",NA,NA,NA,NA,2,NA,TRUE,FALSE,0
"1999-05-06",1,29,"remain_unchanged",26,"Neutral Phrase","","interest_rates",14,"Hawkish Keyword","Policy",NA,NA,NA,NA,12,NA,TRUE,FALSE,0
"1999-05-06",1,29,"remain_unchanged",26,"Neutral Phrase","","main_refinancing_operations",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,9,NA,TRUE,FALSE,0
"1999-05-06",1,29,"remain_unchanged",26,"Neutral Phrase","","lending",20,"Hawkish Keyword","Finance",NA,NA,NA,NA,6,NA,TRUE,FALSE,0
"1999-05-06",1,29,"remain_unchanged",26,"Neutral Phrase","","deposit_facility",24,"Hawkish Keyword","Policy",NA,NA,NA,NA,2,NA,TRUE,FALSE,0
"1999-05-20",1,29,"remain_unchanged",26,"Neutral Phrase","","interest_rates",14,"Hawkish Keyword","Policy",NA,NA,NA,NA,12,NA,TRUE,FALSE,0
"1999-05-20",1,29,"remain_unchanged",26,"Neutral Phrase","","main_refinancing_operations",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,9,NA,TRUE,FALSE,0
"1999-05-20",1,29,"remain_unchanged",26,"Neutral Phrase","","lending",20,"Hawkish Keyword","Finance",NA,NA,NA,NA,6,NA,TRUE,FALSE,0
"1999-05-20",1,29,"remain_unchanged",26,"Neutral Phrase","","deposit_facility",24,"Hawkish Keyword","Policy",NA,NA,NA,NA,2,NA,TRUE,FALSE,0
"1999-06-02",1,29,"remain_unchanged",26,"Neutral Phrase","","interest_rates",14,"Hawkish Keyword","Policy",NA,NA,NA,NA,12,NA,TRUE,FALSE,0
"1999-06-02",1,29,"remain_unchanged",26,"Neutral Phrase","","main_refinancing_operations",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,9,NA,TRUE,FALSE,0
"1999-06-02",1,29,"remain_unchanged",26,"Neutral Phrase","","lending",20,"Hawkish Keyword","Finance",NA,NA,NA,NA,6,NA,TRUE,FALSE,0
"1999-06-02",1,29,"remain_unchanged",26,"Neutral Phrase","","deposit_facility",24,"Hawkish Keyword","Policy",NA,NA,NA,NA,2,NA,TRUE,FALSE,0
"1999-06-17",1,29,"remain_unchanged",26,"Neutral Phrase","","interest_rates",14,"Hawkish Keyword","Policy",NA,NA,NA,NA,12,NA,TRUE,FALSE,0
