"Date","sentence_id","word_count","word_modifier","order_modifier","category_modifier","topic_modifier","word_keyword","order_keyword","category_keyword","topic_keyword","word_negator","order_negator","category_negator","topic_negator","distance","distance_negator","has_keyword","negator_in_front","score"
"1994-02-04",1,22,"increase",14,"High modifier","",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,FALSE,FALSE,1
"1994-02-04",2,17,"small",10,"Low modifier","","interest_rates",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,7,NA,TRUE,FALSE,-1
"1994-02-04",2,17,"increase",11,"High modifier","","interest_rates",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,6,NA,TRUE,FALSE,1
"1994-02-04",3,22,"less",9,"Low modifier","","monetary_policy",13,"Hawkish Keyword","Policy",NA,NA,NA,NA,4,NA,TRUE,FALSE,-1
"1994-02-04",3,22,"less",9,"Low modifier","","economic",21,"Hawkish Keyword","Growth",NA,NA,NA,NA,12,NA,TRUE,FALSE,-1
"1994-02-04",3,22,"accommodative",10,"Low modifier","","monetary_policy",13,"Hawkish Keyword","Policy",NA,NA,NA,NA,3,NA,TRUE,FALSE,-1
"1994-02-04",3,22,"accommodative",10,"Low modifier","","economic",21,"Hawkish Keyword","Growth",NA,NA,NA,NA,11,NA,TRUE,FALSE,-1
"1994-02-04",3,22,"expansion",22,"Positive modifier","","monetary_policy",13,"Hawkish Keyword","Policy",NA,NA,NA,NA,9,NA,TRUE,FALSE,-1
"1994-02-04",3,22,"expansion",22,"Positive modifier","","economic",21,"Hawkish Keyword","Growth",NA,NA,NA,NA,1,NA,TRUE,FALSE,1
"1994-03-22",1,22,"increase",14,"High modifier","",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,FALSE,FALSE,1
"1994-03-22",2,17,"small",10,"Low modifier","","interest_rates",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,7,NA,TRUE,FALSE,-1
"1994-03-22",2,17,"increase",11,"High modifier","","interest_rates",17,"Hawkish Keyword","Policy",NA,NA,NA,NA,6,NA,TRUE,FALSE,1
"1994-05-17",1,19,"favorable",10,"Positive modifier","","federal_reserve",2,"Hawkish Keyword","Global",NA,NA,NA,NA,8,NA,TRUE,FALSE,1
"1994-05-17",1,19,"favorable",10,"Positive modifier","","inflation",13,"Hawkish Keyword","Prices",NA,NA,NA,NA,3,NA,TRUE,FALSE,-1
"1994-05-17",1,19,"favorable",10,"Positive modifier","","economic",18,"Hawkish Keyword","Growth",NA,NA,NA,NA,8,NA,TRUE,FALSE,1
