"Date","final_score"
"1999-03-18",-0.067
"1999-04-08",-0.121
"1999-04-22",0
"1999-05-06",0
"1999-05-20",0
"1999-06-02",0
"1999-06-17",0
"1999-07-01",0
"1999-07-15",0
"1999-07-29",0
"1999-08-26",0
"1999-09-09",0
"1999-09-23",0
"1999-10-07",0
"1999-10-21",0.025
"1999-11-04",0.105
"1999-11-18",0
"1999-12-02",0
"1999-12-15",0
"2000-01-05",0
"2000-01-20",0
"2000-02-03",0.106
"2000-02-17",0
"2000-03-02",0
"2000-03-16",0.118
"2000-03-30",0
"2000-04-13",0
"2000-04-27",0.111
"2000-05-11",0
"2000-05-25",0
"2000-06-08",0.024
"2000-06-21",-0.017
"2000-07-06",-0.114
"2000-07-20",-0.114
"2000-08-03",-0.091
"2000-08-31",0.095
"2000-09-14",-0.114
"2000-10-05",0.079
"2000-10-19",-0.1
"2000-11-02",-0.114
"2000-11-16",-0.114
"2000-11-30",-0.114
"2001-01-04",-0.091
"2001-02-01",-0.114
"2001-02-15",-0.114
"2001-02-18",-0.114
"2001-03-01",-0.114
"2001-03-29",-0.114
"2001-04-11",-0.114
"2001-04-26",-0.114
"2001-05-10",-0.104
"2001-05-23",-0.114
"2001-06-07",-0.114
"2001-06-21",-0.1
"2001-07-05",-0.114
"2001-07-19",-0.114
"2001-08-02",-0.091
"2001-08-30",-0.104
"2001-09-13",-0.027
"2001-09-17",-0.087
"2001-09-27",-0.114
"2001-10-11",-0.1
"2001-10-25",-0.091
"2001-11-08",-0.104
"2001-12-06",-0.174
"2002-01-03",-0.114
"2002-02-07",-0.1
"2002-03-07",-0.114
"2002-04-04",-0.114
"2002-05-02",-0.114
"2002-06-06",-0.114
"2002-07-04",-0.1
"2002-08-01",-0.091
"2002-09-12",-0.114
"2002-10-10",-0.114
"2002-11-07",-0.114
"2002-12-05",-0.108
"2003-01-09",-0.114
"2003-02-06",-0.114
"2003-03-06",-0.108
"2003-04-03",-0.1
"2003-05-08",-0.114
"2003-06-05",-0.108
"2003-07-10",-0.114
"2003-07-31",-0.114
"2003-09-04",-0.114
"2003-10-02",-0.1
"2003-11-06",-0.114
"2003-12-04",-0.114
"2004-01-08",-0.114
"2004-02-05",-0.114
"2004-03-04",-0.114
"2004-04-01",-0.114
"2004-05-06",-0.1
"2004-06-03",-0.114
"2004-07-01",-0.114
"2004-08-05",-0.091
"2004-09-02",-0.114
"2004-10-07",-0.1
"2004-11-04",-0.114
"2004-12-02",-0.114
"2005-01-13",-0.114
"2005-02-03",-0.114
"2005-03-03",-0.114
"2005-04-07",-0.114
"2005-05-04",-0.1
"2005-06-02",-0.114
"2005-07-07",-0.114
"2005-08-04",-0.091
"2005-09-01",-0.114
"2005-10-06",-0.1
"2005-11-03",-0.114
"2005-12-01",0.079
"2006-01-12",-0.114
"2006-02-02",-0.114
"2006-03-02",0.079
"2006-04-06",-0.114
"2006-05-04",-0.114
"2006-06-08",0.079
"2006-07-06",-0.114
"2006-08-03",0.079
"2006-08-31",-0.114
"2006-10-05",0.079
"2006-11-02",-0.114
"2006-12-07",0.079
"2007-01-11",-0.114
"2007-02-08",-0.114
"2007-03-08",0.079
"2007-04-12",-0.114
"2007-05-10",-0.1
"2007-06-06",0.079
"2007-07-05",-0.114
"2007-08-02",-0.091
"2007-09-06",-0.114
"2007-10-04",-0.1
"2007-11-08",-0.114
"2007-12-06",-0.114
"2008-01-10",-0.114
"2008-02-07",-0.114
"2008-03-06",-0.114
"2008-04-10",-0.114
"2008-05-08",-0.1
"2008-06-05",-0.114
"2008-07-03",0.079
"2008-08-07",-0.114
"2008-09-04",-0.114
"2008-10-02",-0.114
"2008-10-08",-0.042
"2008-11-06",-0.104
"2008-12-04",-0.106
"2009-01-15",-0.07
"2009-02-05",0
"2009-03-05",-0.106
"2009-04-02",-0.106
"2009-05-07",-0.065
"2009-06-04",0
"2009-07-02",0
"2009-08-06",0
"2009-09-03",0
"2009-10-08",0
"2009-11-05",0
"2009-12-03",0
"2010-01-14",0
"2010-02-04",0
"2010-03-04",0
"2010-04-08",0
"2010-06-10",0
"2010-07-08",0
"2010-08-05",0
"2010-09-02",0
"2010-10-07",0
"2010-11-04",0
"2010-12-02",0
"2011-01-13",0
"2011-02-03",0
"2011-03-03",0
"2011-04-07",0.106
"2011-05-05",0
"2011-06-09",0
"2011-07-07",0.106
"2011-08-04",0
"2011-09-08",0
"2011-10-06",0
"2011-11-03",-0.106
"2011-12-08",-0.106
"2012-01-12",0
"2012-02-09",0
"2012-03-08",0
"2012-04-04",0
"2012-05-03",0
"2012-06-06",0
"2012-07-05",-0.106
"2012-08-02",0
"2012-09-06",0
"2012-10-04",0
"2012-11-08",0
"2012-12-06",0
"2013-01-10",0
"2013-02-07",0
"2013-03-07",0
"2013-04-04",0
"2013-05-02",-0.065
"2013-06-06",0
"2013-07-04",0
"2013-08-01",0
"2013-09-05",0
"2013-10-02",0
"2013-11-07",-0.065
"2013-12-05",0
"2014-01-09",0
"2014-02-06",0
"2014-03-06",0
"2014-04-03",0
"2014-05-08",0
"2014-06-05",-0.065
"2014-07-03",0
"2014-08-07",0
"2014-09-04",-0.106
"2014-10-02",0
"2014-11-06",0
"2014-12-04",0
"2014-12-14",-0.174
"2015-01-22",0.025
"2015-03-05",0
"2015-03-15",-0.091
"2015-04-15",0
"2015-06-03",0
"2015-07-16",0
"2015-09-03",0
"2015-10-22",0
"2015-12-03",-0.005
"2016-01-21",0
"2016-03-10",-0.078
"2016-04-21",0.031
"2016-06-02",0.025
"2016-07-21",-0.015
"2016-09-08",-0.015
"2016-10-20",-0.015
"2016-12-08",0.006
"2017-01-19",0.007
"2017-03-09",0.007
"2017-04-27",0.007
"2017-06-08",0.026
"2017-07-20",0.026
"2017-09-07",0.026
"2017-10-26",0.013
"2017-12-14",0.017
"2018-01-25",0.016
"2018-03-08",0
"2018-04-26",0
"2018-06-14",-0.01
"2018-07-26",-0.006
"2018-09-13",-0.007
"2018-10-25",-0.001
"2018-12-13",0.01
"2019-01-24",0.007
"2019-03-07",0.021
"2019-04-10",0.009
"2019-06-06",-0.007
"2019-07-25",-0.039
"2019-09-12",-0.053
"2019-10-24",-0.031
"2019-12-12",-0.031
"2020-01-23",-0.014
"2020-03-12",-0.009
"2020-04-30",-0.025
"2020-06-04",-0.042
"2020-07-16",-0.032
"2020-09-10",-0.031
"2020-10-29",-0.036
"2020-12-10",0.006
"2021-01-21",-0.028
"2021-03-11",-0.002
"2021-04-22",-0.003
"2021-06-10",-0.008
"2021-07-22",-0.018
"2021-09-09",-0.009
"2021-10-28",-0.002
"2021-12-16",0.001
"2022-02-03",0.011
"2022-03-10",0.01
"2022-04-14",0.029
"2022-06-09",0.046
"2022-07-21",0.036
"2022-09-08",0.048
"2022-10-27",0.071
"2022-12-15",0.003
"2023-02-02",0.029
"2023-03-16",0.075
"2023-05-04",0.037
"2023-06-15",0.019
"2023-07-27",0.024
"2023-09-14",0.046
"2023-10-26",-0.011
"2023-12-14",0.015
"2024-01-25",-0.025
"2024-03-07",0.019
"2024-04-11",-0.006
"2024-05-06",0
"2024-06-06",-0.048
"2024-07-18",0.085
"2024-09-12",-0.035
"2024-10-17",-0.007
