"Date","final_score"
"1994-02-04",-0.023
"1994-03-22",0
"1994-05-17",0.014
"1994-08-16",0.047
"1994-11-15",0.063
"1995-02-01",0.063
"1995-07-06",-0.19
"1995-12-19",-0.125
"1996-01-31",-0.043
"1997-03-25",-0.041
"1998-09-29",-0.085
"1998-11-17",-0.036
"1999-05-18",0.012
"1999-06-30",0.064
"1999-08-24",0.091
"1999-10-05",0.015
"1999-11-16",0.064
"1999-12-21",0.051
"2000-02-02",0.067
"2000-03-21",0.065
"2000-05-16",0.025
"2000-06-28",0.034
"2000-08-22",0.052
"2000-10-03",0.037
"2000-11-15",0.041
"2000-12-19",-0.017
"2001-01-31",-0.005
"2001-03-20",-0.026
"2001-05-15",-0.057
"2001-06-27",-0.046
"2001-08-21",-0.05
"2001-10-02",0.047
"2001-11-06",0.02
"2001-12-11",-0.053
"2002-01-30",-0.032
"2002-03-19",0.019
"2002-05-07",0.02
"2002-06-26",0.023
"2002-08-13",-0.019
"2002-09-24",-0.008
"2002-11-06",-0.04
"2002-12-10",-0.038
"2003-01-29",-0.029
"2003-03-18",0.009
"2003-05-06",-0.009
"2003-06-25",-0.01
"2003-08-12",0.004
"2003-09-16",-0.006
"2003-10-28",0.012
"2003-12-09",-0.005
"2004-01-28",-0.018
"2004-03-16",-0.012
"2004-05-04",0.014
"2004-06-30",0.021
"2004-08-10",-0.001
"2004-09-21",-0.008
"2004-11-10",0.007
"2004-12-14",-0.008
"2005-02-02",0.005
"2005-03-22",0.056
"2005-05-03",0.046
"2005-06-30",0.073
"2005-08-09",0.031
"2005-09-20",0.03
"2005-11-01",0.006
"2005-12-13",0.039
"2006-01-31",0.019
"2006-03-28",-0.005
"2006-05-10",0.038
"2006-06-29",0.039
"2006-08-08",-0.008
"2006-09-20",-0.003
"2006-10-25",-0.012
"2006-12-12",-0.011
"2007-01-31",0.005
"2007-03-21",0.058
"2007-05-09",0.061
"2007-06-28",-0.036
"2007-08-07",-0.034
"2007-09-18",-0.025
"2007-10-31",0.004
"2007-12-11",-0.032
"2008-01-30",-0.05
"2008-03-18",-0.037
"2008-04-30",-0.047
"2008-06-25",0
"2008-08-05",0.016
"2008-09-16",-0.006
"2008-10-29",-0.086
"2008-12-16",-0.022
"2009-01-28",-0.019
"2009-03-18",-0.026
"2009-04-29",-0.032
"2009-06-24",0.017
"2009-08-12",0.007
"2009-09-23",-0.026
"2009-11-04",-0.022
"2009-12-16",-0.018
"2010-01-27",-0.034
"2010-03-16",-0.009
"2010-04-28",-0.014
"2010-06-23",-0.051
"2010-08-10",-0.049
"2010-09-21",-0.055
"2010-11-03",-0.025
"2010-12-14",-0.029
"2011-01-26",-0.016
"2011-03-15",0.008
"2011-04-27",-0.001
"2011-06-22",-0.002
"2011-08-09",-0.033
"2011-09-21",-0.034
"2011-11-02",-0.017
"2011-12-13",-0.035
"2012-01-25",-0.034
"2012-03-13",-0.003
"2012-04-25",-0.004
"2012-06-20",-0.038
"2012-08-01",-0.033
"2012-09-13",-0.024
"2012-10-24",-0.001
"2012-12-12",-0.015
"2013-01-30",0.003
"2013-03-20",0.011
"2013-05-01",-0.009
"2013-06-19",-0.001
"2013-07-31",-0.002
"2013-09-18",0.008
"2013-10-30",-0.015
"2013-12-18",0.01
"2014-01-29",0.015
"2014-03-19",-0.008
"2014-04-30",0.003
"2014-06-18",0.012
"2014-07-30",0.002
"2014-09-17",0.005
"2014-10-29",0
"2014-12-17",0.011
"2015-01-28",-0.005
"2015-03-18",0.007
"2015-04-29",-0.017
"2015-06-17",-0.037
"2015-07-29",-0.003
"2015-09-17",0.016
"2015-10-28",0.007
"2015-12-16",0.02
"2016-01-27",0.014
"2016-03-16",0.031
"2016-04-27",0.02
"2016-06-15",0.03
"2016-07-27",0.001
"2016-09-21",0.009
"2016-11-02",0.027
"2016-12-14",0.037
"2017-02-01",0.033
"2017-03-15",0.015
"2017-05-03",0
"2017-06-14",0.02
"2017-07-26",0.018
"2017-09-20",0.023
"2017-11-01",0.011
"2017-12-13",0.005
"2018-01-31",0.031
"2018-03-21",0.028
"2018-05-02",0.023
"2018-06-13",0.054
"2018-08-01",0.063
"2018-09-26",0.069
"2018-11-08",0.061
"2018-12-19",0.057
"2019-01-30",0.036
"2019-03-20",0.013
"2019-05-01",0.019
"2019-06-19",0.034
"2019-07-31",0.012
"2019-09-18",0.019
"2019-10-11",0.007
"2019-10-30",0.018
"2019-12-11",0.028
"2020-01-29",0.018
"2020-03-03",0.012
"2020-03-15",0.017
"2020-03-23",0.028
"2020-04-29",-0.013
"2020-06-10",-0.008
"2020-07-29",-0.011
"2020-09-16",-0.005
"2020-11-05",-0.006
"2020-12-16",-0.006
"2021-01-27",-0.011
"2021-03-17",0.003
"2021-04-28",0.034
"2021-06-16",0.022
"2021-07-28",0.022
"2021-09-22",0.017
"2021-11-03",0.022
"2021-12-15",0.025
"2022-01-26",0.031
"2022-03-16",0.047
"2022-05-04",0.031
"2022-06-15",0.029
"2022-07-27",0.013
"2022-09-21",0.017
"2022-11-02",0.023
"2022-12-14",0.023
"2023-02-01",0.018
"2023-03-22",0.031
"2023-05-03",0.027
"2023-06-14",0.02
"2023-07-26",0.027
"2023-09-20",0.032
"2023-11-01",0.037
"2023-12-13",0.023
"2024-01-31",0.014
"2024-03-20",0.01
"2024-05-01",0.007
"2024-06-12",0.004
"2024-07-31",0.019
"2024-09-18",0.028
"2024-11-07",0.015
