"Date","sentence_id","word_count","word_modifier","order_modifier","category_modifier","topic_modifier","word_keyword","order_keyword","category_keyword","topic_keyword","distance","has_keyword","is_neutral","negator_in_front","score"
"1999-03-18",2,15,"favourable",15,"Positive modifier","","price",12,"Hawkish Keyword","Prices",3,TRUE,FALSE,FALSE,-1
"1999-04-08",2,21,"reduced",8,"Low modifier","","main_refinancing_operations",5,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,-1
"1999-04-08",3,16,"reduced",10,"Low modifier","","lending",6,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,-1
"1999-04-08",4,14,"reduced",8,"Low modifier","","deposit_facility",5,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,-1
"1999-11-04",2,25,"raised",11,"High modifier","","main_refinancing_operations",5,"Hawkish Keyword","Policy",6,TRUE,FALSE,FALSE,1
"1999-11-04",3,18,"raised",10,"High modifier","","lending",6,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,1
"1999-11-04",4,16,"raised",8,"High modifier","","deposit_facility",5,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,1
"2000-02-03",2,24,"raised",11,"High modifier","","main_refinancing_operations",5,"Hawkish Keyword","Policy",6,TRUE,FALSE,FALSE,1
"2000-02-03",3,18,"raised",10,"High modifier","","lending",6,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,1
"2000-02-03",4,16,"raised",8,"High modifier","","deposit_facility",5,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,1
"2000-03-16",3,24,"raised",11,"High modifier","","main_refinancing_operations",5,"Hawkish Keyword","Policy",6,TRUE,FALSE,FALSE,1
"2000-03-16",4,18,"raised",10,"High modifier","","lending",6,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,1
"2000-03-16",5,16,"raised",8,"High modifier","","deposit_facility",5,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,1
"2000-03-16",7,23,"better",13,"Positive modifier","","euro_area",9,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,1
"2000-03-16",8,15,"upside_risks",5,"High modifier","","price",7,"Hawkish Keyword","Prices",2,TRUE,FALSE,FALSE,1
"2000-03-16",9,16,"upside_risks",6,"High modifier","","euro_area",16,"Hawkish Keyword","Finance",10,TRUE,FALSE,FALSE,1
"2000-03-16",9,16,"favourable",12,"Positive modifier","","euro_area",16,"Hawkish Keyword","Finance",4,TRUE,FALSE,FALSE,1
"2000-03-16",10,51,"strong",43,"High modifier","","growth",44,"Hawkish Keyword","Growth",1,TRUE,FALSE,FALSE,1
"2000-03-16",11,19,"increasing",11,"High modifier","","consumer_price",15,"Hawkish Keyword","Prices",4,TRUE,FALSE,FALSE,1
"2000-03-16",11,19,"upward",12,"High modifier","","consumer_price",15,"Hawkish Keyword","Prices",3,TRUE,FALSE,FALSE,1
"2000-03-16",12,27,"strong",2,"High modifier","","oil_prices",5,"Hawkish Keyword","Prices",3,TRUE,FALSE,FALSE,1
"2000-03-16",12,27,"rise",3,"High modifier","","oil_prices",5,"Hawkish Keyword","Prices",2,TRUE,FALSE,FALSE,1
"2000-03-16",12,27,"downward",8,"Low modifier","","oil_prices",5,"Hawkish Keyword","Prices",3,TRUE,FALSE,FALSE,-1
"2000-03-16",12,27,"upward",21,"High modifier","","import",24,"Dovish Keyword","Global",3,TRUE,FALSE,FALSE,-1
"2000-03-16",13,25,"strong",6,"High modifier","","risk",12,"Dovish Keyword","Other",6,TRUE,FALSE,FALSE,-1
"2000-03-16",13,25,"upswing",8,"High modifier","","risk",12,"Dovish Keyword","Other",4,TRUE,FALSE,FALSE,-1
"2000-03-16",14,34,"increase",3,"High modifier","","interest_rates",6,"Hawkish Keyword","Policy",3,TRUE,FALSE,FALSE,1
"2000-03-16",14,34,"upside_risks",24,"High modifier","","price",26,"Hawkish Keyword","Prices",2,TRUE,FALSE,FALSE,1
"2000-03-16",15,17,"inflationary",5,"High modifier","","economic_growth",14,"Hawkish Keyword","Growth",9,TRUE,FALSE,FALSE,1
