"Date","sentence_id","word_count","word_modifier","order_modifier","category_modifier","word_keyword","order_keyword","category_keyword","topic_keyword","distance","has_keyword","negator_in_front","score"
"1994/02/04",2,17,"small",10,"Low modifier","interest_rates",17,"Hawkish Keyword","Policy",7,TRUE,FALSE,-1
"1994/02/04",2,17,"increase",11,"High modifier","interest_rates",17,"Hawkish Keyword","Policy",6,TRUE,FALSE,1
"1994/02/04",3,22,"less",9,"Low modifier","monetary_policy",13,"Hawkish Keyword","Policy",4,TRUE,FALSE,-1
"1994/02/04",3,22,"accommodative",10,"Low modifier","monetary_policy",13,"Hawkish Keyword","Policy",3,TRUE,FALSE,-1
"1994/02/04",3,22,"expansion",22,"Positive modifier","economic",21,"Hawkish Keyword","Growth",1,TRUE,FALSE,1
"1994/03/22",2,17,"small",10,"Low modifier","interest_rates",17,"Hawkish Keyword","Policy",7,TRUE,FALSE,-1
"1994/03/22",2,17,"increase",11,"High modifier","interest_rates",17,"Hawkish Keyword","Policy",6,TRUE,FALSE,1
"1994/05/17",1,19,"favorable",10,"Positive modifier","inflation",13,"Hawkish Keyword","Prices",3,TRUE,FALSE,-1
"1994/05/17",1,19,"expansion",19,"Positive modifier","economic",18,"Hawkish Keyword","Growth",1,TRUE,FALSE,1
"1994/05/17",2,37,"increase",25,"High modifier","interest_rates",34,"Hawkish Keyword","Policy",9,TRUE,FALSE,1
"1994/08/16",3,21,"increase",9,"High modifier","interest_rates",18,"Hawkish Keyword","Policy",9,TRUE,FALSE,1
"1994/08/16",5,21,"increase",9,"High modifier","interest_rates",18,"Hawkish Keyword","Policy",9,TRUE,FALSE,1
"1994/08/16",6,22,"expansion",16,"Positive modifier","economic",15,"Hawkish Keyword","Growth",1,TRUE,FALSE,1
"1994/08/16",6,22,"high",18,"High modifier","economic",15,"Hawkish Keyword","Growth",3,TRUE,FALSE,1
"1994/11/15",1,17,"increase",7,"High modifier","federal_reserve",2,"Hawkish Keyword","Global",5,TRUE,FALSE,1
"1994/11/15",2,26,"increase",13,"High modifier","interest_rates",23,"Hawkish Keyword","Policy",10,TRUE,FALSE,1
