"Date","Uncertainty"
1994-02-04,"0.7"
1994-03-22,"0.7"
1994-05-17,"0.9"
1994-08-16,"0.3"
1994-11-15,"0.75"
1995-02-01,"0.4"
1995-07-06,"0.6"
1995-12-19,"0.5"
1996-01-31,"0.5"
1997-03-25,"0.5"
1998-09-29,"0.7"
1998-11-17,"0.6"
1999-05-18,"1.2"
1999-06-30,"1.2"
1999-08-24,"0.55000000000000004"
1999-10-05,"0.4"
1999-11-16,"0.4"
1999-12-21,"0.4"
2000-02-02,"0.7"
2000-03-21,"0.7"
2000-05-16,"1.075"
2000-06-28,"1.075"
2000-08-22,"0.6"
2000-10-03,"0.6"
2000-11-15,"0.6"
2000-12-19,"0.6"
2001-01-31,"0.4"
2001-03-20,"0.4"
2001-05-15,"1.1000000000000001"
2001-06-27,"1.1000000000000001"
2001-08-21,"1"
2001-10-02,"0.9"
2001-11-06,"0.9"
2001-12-11,"0.9"
2002-01-30,"0.7"
2002-03-19,"0.7"
2002-05-07,"1.5"
2002-06-26,"1.5"
2002-08-13,"0.8"
2002-09-24,"0.8"
2002-11-06,"0.5"
2002-12-10,"0.5"
2003-01-29,"0.6"
2003-03-18,"0.6"
2003-05-06,"1.2"
2003-06-25,"1.2"
2003-08-12,"0.8"
2003-09-16,"0.8"
2003-10-28,"0.6"
2003-12-09,"0.6"
2004-01-28,"0.7"
2004-03-16,"0.7"
2004-05-04,"1.3"
2004-06-30,"1.3"
2004-08-10,"0.77"
2004-09-21,"0.77"
2004-11-10,"0.87050000000000005"
2004-12-14,"0.87050000000000005"
2005-02-02,"1.127"
2005-03-22,"1.127"
2005-05-03,"1.4"
2005-06-30,"1.4"
2005-08-09,"0.84799999999999998"
2005-09-20,"0.84799999999999998"
2005-11-01,"1.387"
2005-12-13,"1.387"
2006-01-31,"1.7"
2006-03-28,"1.7"
2006-05-10,"1.33"
2006-06-29,"1.33"
2006-08-08,"0.97"
2006-09-20,"0.97"
2006-10-25,"0.97"
2006-12-12,"0.97"
2007-01-31,"1"
2007-03-21,"1"
2007-05-09,"1.8267"
2007-06-28,"1.8267"
2007-08-07,"0.86460000000000004"
2007-09-18,"0.86460000000000004"
2007-10-31,"1.3005"
2007-12-11,"1.3005"
2008-01-30,"1.1499999999999999"
2008-03-18,"1.1499999999999999"
2008-04-30,"1.2"
2008-06-25,"1.2"
2008-08-05,"1.8340000000000001"
2008-09-16,"1.8340000000000001"
2008-10-29,"1.8340000000000001"
2008-12-16,"1.8340000000000001"
2009-01-28,"1.8340000000000001"
2009-03-18,"1.8340000000000001"
2009-04-29,"1.8340000000000001"
2009-06-24,"1.8340000000000001"
2009-08-12,"1.6"
2009-09-23,"1.6"
2009-11-04,"0.8"
2009-12-16,"0.8"
2010-01-27,"1.1555"
2010-03-16,"1.1555"
2010-04-28,"1.2484999999999999"
2010-06-23,"1.2484999999999999"
2010-08-10,"0.9"
2010-09-21,"0.9"
2010-11-03,"0.75419999999999998"
2010-12-14,"0.75419999999999998"
2011-01-26,"1.2990999999999999"
2011-03-15,"1.2990999999999999"
2011-04-27,"1.71"
2011-06-22,"1.71"
2011-08-09,"1.9008"
2011-09-21,"1.9008"
2011-11-02,"0.94840000000000002"
2011-12-13,"0.94840000000000002"
2012-01-25,"0.9"
2012-03-13,"0.9"
2012-04-25,"0.9"
2012-06-20,"0.9"
2012-08-01,"0.82320000000000004"
2012-09-13,"0.82320000000000004"
2012-10-24,"0.81499999999999995"
2012-12-12,"0.81499999999999995"
2013-01-30,"1.1000000000000001"
2013-03-20,"1.1000000000000001"
2013-05-01,"1.4"
2013-06-19,"1.4"
2013-07-31,"1.5"
2013-09-18,"1.5"
2013-10-30,"0.75970000000000004"
2013-12-18,"0.75970000000000004"
2014-01-29,"0.61680000000000001"
2014-03-19,"0.61680000000000001"
2014-04-30,"0.54959999999999998"
2014-06-18,"0.54959999999999998"
2014-07-30,"0.64349999999999996"
2014-09-17,"0.64349999999999996"
2014-10-29,"0.64349999999999996"
2014-12-17,"0.64349999999999996"
2015-01-28,"0.64349999999999996"
2015-03-18,"0.64349999999999996"
2015-04-29,"1.462"
2015-06-17,"1.462"
2015-07-29,"0.72119999999999995"
2015-09-17,"0.72119999999999995"
2015-10-28,"1.4"
2015-12-16,"1.4"
2016-01-27,"1.4"
2016-03-16,"1.4"
2016-04-27,"1.3"
2016-06-15,"1.3"
2016-07-27,"0.62229999999999996"
2016-09-21,"0.62229999999999996"
2016-11-02,"0.86870000000000003"
2016-12-14,"0.86870000000000003"
2017-02-01,"0.50319999999999998"
