"Date","Uncertainty"
1994-03-25,"0.7"
1994-05-20,"0.9"
1994-07-08,"0.3"
1994-08-19,"0.3"
1994-09-30,"0.3"
1994-11-18,"0.75"
1994-12-22,"0.75"
1995-02-03,"0.4"
1995-03-31,"0.4"
1995-05-26,"0.3"
1995-07-07,"0.6"
1995-08-25,"0.6"
1995-09-29,"0.6"
1995-11-17,"0.5"
1995-12-22,"0.5"
1996-02-02,"0.5"
1996-03-29,"0.5"
1996-05-24,"0.7"
1996-07-05,"0.6"
1996-08-23,"0.6"
1996-09-27,"0.6"
1996-11-15,"0.5"
1996-12-20,"0.5"
1997-02-06,"0.5"
1997-03-27,"0.5"
1997-05-22,"0.8"
1997-07-03,"0.5"
1997-08-21,"0.5"
1997-10-02,"0.3"
1997-11-13,"0.3"
1997-12-18,"0.3"
1998-02-05,"0.7"
1998-04-02,"0.6"
1998-05-21,"0.6"
1998-07-02,"0.7"
1998-08-20,"0.7"
1998-10-01,"0.6"
1998-11-19,"0.6"
1998-12-23,"0.6"
1999-02-04,"0.25"
1999-04-01,"1.2"
1999-05-20,"1.2"
1999-07-01,"0.55000000000000004"
1999-08-26,"0.55000000000000004"
1999-10-07,"0.4"
1999-11-18,"0.4"
1999-12-23,"0.4"
2000-02-03,"0.7"
2000-03-23,"0.7"
2000-05-18,"1.075"
2000-06-29,"1.075"
2000-08-24,"0.6"
2000-10-05,"0.6"
2000-11-16,"0.6"
2000-12-21,"0.6"
2001-02-01,"0.4"
2001-03-22,"0.4"
2001-05-17,"1.1000000000000001"
2001-06-28,"1.1000000000000001"
2001-08-23,"1"
2001-10-04,"0.9"
2001-11-08,"0.9"
2001-12-13,"0.9"
2002-01-31,"0.7"
2002-03-21,"0.7"
2002-05-09,"1.5"
2002-06-27,"1.5"
2002-08-15,"0.8"
2002-09-26,"0.8"
2002-11-07,"0.5"
2002-12-12,"0.5"
2003-01-30,"0.6"
2003-03-20,"0.6"
2003-05-08,"1.2"
2003-06-26,"1.2"
2003-08-14,"0.8"
2003-09-18,"0.8"
2003-10-30,"0.6"
2003-12-11,"0.6"
2004-01-29,"0.7"
2004-03-18,"0.7"
2004-05-06,"1.3"
2004-07-01,"0.77"
2004-08-12,"0.77"
2004-09-23,"0.77"
2004-11-11,"0.87050000000000005"
2004-12-16,"0.87050000000000005"
2005-01-04,"1.127"
2005-02-23,"1.127"
2005-04-12,"1.4"
2005-05-24,"1.4"
2005-07-21,"0.84799999999999998"
2005-08-30,"0.84799999999999998"
2005-10-11,"1.387"
2005-11-22,"1.387"
2006-01-03,"1.7"
2006-02-21,"1.7"
2006-04-18,"1.33"
2006-05-31,"1.33"
2006-07-20,"0.97"
2006-08-29,"0.97"
2006-10-11,"0.97"
2006-11-15,"0.97"
2007-01-03,"1"
2007-02-21,"1"
2007-04-11,"1.8267"
2007-05-30,"1.8267"
2007-07-19,"0.86460000000000004"
2007-08-28,"0.86460000000000004"
2007-10-09,"1.3005"
2007-11-20,"1.3005"
2008-01-02,"1.1499999999999999"
2008-02-20,"1.1499999999999999"
2008-04-08,"1.2"
2008-05-21,"1.2"
2008-07-16,"1.8340000000000001"
2008-08-26,"1.8340000000000001"
2008-10-07,"1.8340000000000001"
2008-11-19,"1.8340000000000001"
2009-01-06,"1.8340000000000001"
2009-02-18,"1.8340000000000001"
2009-04-08,"1.8340000000000001"
2009-05-20,"1.8340000000000001"
2009-07-15,"1.6"
2009-09-02,"1.6"
2009-10-14,"0.8"
2009-11-24,"0.8"
2010-01-06,"1.1555"
2010-02-17,"1.1555"
2010-04-06,"1.2484999999999999"
2010-05-19,"1.2484999999999999"
2010-07-14,"0.9"
2010-08-31,"0.9"
2010-10-12,"0.75419999999999998"
2010-11-23,"0.75419999999999998"
2011-01-04,"1.2990999999999999"
2011-02-16,"1.2990999999999999"
2011-04-05,"1.71"
2011-05-18,"1.71"
2011-07-12,"1.9008"
2011-08-30,"1.9008"
2011-10-12,"0.94840000000000002"
2011-11-22,"0.94840000000000002"
2012-01-03,"0.9"
2012-02-15,"0.9"
2012-04-03,"0.9"
2012-05-16,"0.9"
2012-07-11,"0.82320000000000004"
2012-08-22,"0.82320000000000004"
2012-10-04,"0.81499999999999995"
2012-11-14,"0.81499999999999995"
2013-01-03,"1.1000000000000001"
2013-02-20,"1.1000000000000001"
2013-04-10,"1.4"
2013-05-22,"1.4"
2013-07-10,"1.5"
2013-08-21,"1.5"
2013-10-09,"0.75970000000000004"
2013-11-20,"0.75970000000000004"
2014-01-08,"0.61680000000000001"
2014-02-19,"0.61680000000000001"
2014-04-09,"0.54959999999999998"
2014-05-21,"0.54959999999999998"
2014-07-09,"0.64349999999999996"
2014-08-20,"0.64349999999999996"
2014-10-08,"0.64349999999999996"
2014-11-19,"0.64349999999999996"
2015-01-07,"0.64349999999999996"
2015-02-18,"0.64349999999999996"
2015-04-08,"1.462"
2015-05-20,"1.462"
2015-07-08,"0.72119999999999995"
2015-08-19,"0.72119999999999995"
2015-10-08,"1.4"
2015-11-18,"1.4"
2016-01-06,"1.4"
2016-02-17,"1.4"
2016-04-06,"1.3"
2016-05-18,"1.3"
2016-07-06,"0.62229999999999996"
2016-08-17,"0.62229999999999996"
2016-10-12,"0.86870000000000003"
2016-11-23,"0.86870000000000003"
2017-01-04,"0.50319999999999998"
2017-02-22,"0.50319999999999998"
2017-04-05,"1.3552"
2017-05-24,"1.3552"
2017-07-05,"0.61599999999999999"
2017-08-16,"0.61599999999999999"
2017-10-11,"1.0061"
2017-11-22,"1.0061"
2018-01-03,"0.76319999999999999"
2018-02-21,"0.76319999999999999"
2018-04-11,"0.7"
2018-05-23,"0.7"
2018-07-05,"0.4526"
2018-08-22,"0.4526"
2018-10-17,"0.50470000000000004"
2018-11-29,"0.50470000000000004"
2019-01-09,"0.9"
2019-02-20,"0.9"
2019-04-10,"1.42"
2019-05-22,"1.42"
2019-07-10,"0.74490000000000001"
2019-08-21,"0.74490000000000001"
2019-10-09,"0.56520000000000004"
2019-11-20,"0.56520000000000004"
2020-01-03,"0.51"
2020-02-19,"0.51"
2020-04-08,"0.51"
2020-05-20,"0.51"
2020-07-01,"2.1928000000000001"
2020-08-19,"2.1928000000000001"
2020-10-07,"0.91239999999999999"
2020-11-25,"0.91239999999999999"
2021-01-06,"1.3866000000000001"
2021-02-17,"1.3866000000000001"
2021-04-07,"1.5388999999999999"
2021-05-19,"1.5388999999999999"
2021-07-07,"2.2738"
2021-08-18,"2.2738"
2021-10-13,"1.2492000000000001"
2021-11-24,"1.2492000000000001"
2022-01-05,"1.5425"
2022-02-16,"1.5425"
2022-04-06,"2.0747"
2022-05-25,"2.0747"
2022-07-06,"2.7"
2022-08-17,"2.7"
2022-10-12,"1.4144000000000001"
2022-11-23,"1.4144000000000001"
2023-01-04,"1.0900000000000001"
2023-02-22,"1.0900000000000001"
2023-04-12,"0.6875"
2023-05-24,"0.6875"
2023-07-05,"0.61339999999999995"
2023-08-16,"0.61339999999999995"
2023-10-11,"0.66459999999999997"
2023-11-21,"0.66459999999999997"
2024-01-03,"0.5"
2024-02-21,"0.5"
2024-04-10,"0.6"
2024-05-22,"0.6"
2024-07-03,"0.82189999999999996"
2024-08-21,"0.82189999999999996"
2024-10-09,"0.82189999999999996"
2024-11-26,"0.82189999999999996"
