"Date","Uncertainty"
2015-01-22,7.6
2015-03-05,7.6
2015-04-15,9
2015-06-03,9
2015-07-16,4.8
2015-09-03,4.8
2015-10-22,10.9
2015-12-03,10.9
2016-01-21,6.2
2016-03-10,6.2
2016-04-21,7.8
2016-06-02,7.8
2016-07-21,2.9
2016-09-08,2.9
2016-10-20,4.7
2016-12-08,4.7
2017-01-19,7
2017-03-09,7
2017-04-27,5.9
2017-06-08,5.9
2017-07-20,3.5
2017-09-07,3.5
2017-10-26,4.3
2017-12-14,4.3
2018-01-25,3.3
2018-03-08,3.3
2018-06-14,11.8
2018-07-26,4.9
2018-09-13,4.9
2018-10-25,10
2018-12-13,10
2019-01-24,7.6
2019-03-07,7.6
2019-04-10,3.4
2019-06-06,3.4
2019-07-25,5.5
2019-10-24,4.1
2019-12-12,4.1
2020-01-23,7.4
2020-03-12,7.4
2020-03-18,7.4
2020-04-30,8.7
2020-06-04,8.7
2020-07-16,6.8
2020-09-10,6.8
2020-10-29,877.6
2020-12-10,877.6
2021-01-21,604.4
2021-03-11,604.4
2021-04-22,539.7
2021-06-10,539.7
2021-07-07,154.1
2021-07-22,154.1
2021-09-09,154.1
2021-10-28,226.5
2021-12-16,226.5
2022-02-03,114.7
2022-03-10,114.7
2022-04-14,164
2022-06-09,164
2022-06-15,164
2022-07-21,160.7
2022-09-08,160.7
2022-12-15,56.6
2023-02-02,62.5
2023-05-04,94.1
2023-06-15,94.1
2023-07-13,32.7
2023-07-27,32.7
2023-10-07,26.1
2023-10-26,26.1
2023-12-14,26.1
2024-01-25,15.2
2024-03-07,15.2
2024-04-11,31.8
2024-06-06,31.8
