"Date","Uncertainty"
1994-02-04,0.5
1994-03-22,0.5
1994-05-17,0.9625
1994-08-16,0.8554
1994-11-15,0.9254
1995-02-01,0.686
1995-07-06,0.8
1995-12-19,0.771
1996-01-31,0.8314
1997-03-25,0.9612
1998-09-29,0.8085
1998-11-17,0.6353
1999-05-18,1.1
1999-06-30,1.1
1999-08-24,0.5042
1999-10-05,0.8982
1999-11-16,0.8982
1999-12-21,0.8982
2000-02-02,1.7191
2000-03-21,1.7191
2000-05-16,0.8196
2000-06-28,0.8196
2000-08-22,0.6869
2000-10-03,1.0999
2000-11-15,1.0999
2000-12-19,1.0999
2001-01-31,1.6023
2001-03-20,1.6023
2001-05-15,0.7393
2001-06-27,0.7393
2001-08-21,0.904
2001-10-02,1.2034
2001-11-06,1.2034
2001-12-11,1.2034
2002-01-30,1.8
2002-03-19,1.8
2002-05-07,1.2691
2002-06-26,1.2691
2002-08-13,1.1381
2002-09-24,1.1381
2002-11-06,0.7985
2002-12-10,0.7985
2003-01-29,0.863
2003-03-18,0.863
2003-05-06,0.7924
2003-06-25,0.7924
2003-08-12,0.8302
2003-09-16,0.8302
2003-10-28,0.8617
2003-12-09,0.8617
2004-01-28,0.9015
2004-03-16,0.9015
2004-05-04,0.835
2004-06-30,0.835
2004-08-10,0.3918
2004-09-21,0.3918
2004-11-10,0.5326
2004-12-14,0.5326
2005-02-02,0.824
2005-03-22,0.824
2005-05-03,0.3808
2005-06-30,0.3808
2005-08-09,0.8911
2005-09-20,0.8911
2005-11-01,0.7776
2005-12-13,0.7776
2006-01-31,0.8114
2006-03-28,0.8114
2006-05-10,0.6
2006-06-29,0.6
2006-08-08,0.7704
2006-09-20,0.7704
2006-10-25,0.9428
2006-12-12,0.9428
2007-01-31,0.4225
2007-03-21,0.4225
2007-05-09,0.455
2007-06-28,0.455
2007-08-07,0.5
2007-09-18,0.5
2007-10-31,0.5658
2007-12-11,0.5658
2008-01-30,1.0213
2008-03-18,1.0213
2008-04-30,1.3307
2008-06-25,1.3307
2008-08-05,1.3959
2008-09-16,1.3959
2008-10-29,1.6803
2008-12-16,1.6803
2009-01-28,1.34
2009-03-18,1.34
2009-04-29,1.6307
2009-06-24,1.6307
2009-08-12,1.502
2009-09-23,1.502
2009-11-04,1.2778
2009-12-16,1.2778
2010-01-27,0.8134
2010-03-16,0.8134
2010-04-28,1.009
2010-06-23,1.009
2010-08-10,1.4064
2010-09-21,1.4064
2010-11-03,0.81
2010-12-14,0.81
2011-01-26,0.7098
2011-03-15,0.7098
2011-04-27,0.8534
2011-06-22,0.8534
2011-08-09,0.7634
2011-09-21,0.7634
2011-11-02,0.8448
2011-12-13,0.8448
2012-01-25,0.6856
2012-03-13,0.6856
2012-04-25,0.6853
2012-06-20,0.6853
2012-08-01,0.9593
2012-09-13,0.9593
2012-10-24,0.6335
2012-12-12,0.6335
2013-01-30,1.0656
2013-03-20,1.0656
2013-05-01,0.7127
2013-06-19,0.7127
2013-07-31,0.6153
2013-09-18,0.6153
2013-10-30,0.7
2013-12-18,0.7
2014-01-29,0.7521
2014-03-19,0.7521
2014-04-30,0.6923
2014-06-18,0.6923
2014-07-30,0.8608
2014-09-17,0.8608
2014-10-29,0.7694
2014-12-17,0.7694
2015-01-28,0.6821
2015-03-18,0.6821
2015-04-29,1.2555
2015-06-17,1.2555
2015-07-29,0.7818
2015-09-17,0.7818
2015-10-28,0.7285
2015-12-16,0.7285
2016-01-27,0.7531
2016-03-16,0.7531
2016-04-27,0.7708
2016-06-15,0.7708
2016-07-27,0.8304
2016-09-21,0.8304
2016-11-02,0.5496
2016-12-14,0.5496
2017-02-01,0.6063
2017-03-15,0.6063
2017-05-03,0.4345
2017-06-14,0.4345
2017-07-26,0.5573
2017-09-20,0.5573
2017-11-01,0.4003
2017-12-13,0.4003
2018-01-31,0.6302
2018-03-21,0.6302
2018-05-02,0.5979
2018-06-13,0.5979
2018-08-01,0.3963
2018-09-26,0.3963
2018-11-08,0.5999
2018-12-19,0.5999
2019-01-30,0.9796
2019-03-20,0.9796
2019-05-01,1.0807
2019-06-19,1.0807
2019-07-31,0.4273
2019-09-18,0.4273
2019-10-11,0.5427
2019-10-30,0.5427
2019-12-11,0.5427
2020-01-29,0.7259
2020-03-03,0.7259
2020-03-15,0.7259
2020-03-23,0.7259
2020-04-29,9.4651
2020-06-10,9.4651
2020-07-29,6.2957
2020-09-16,6.2957
2020-11-05,2.3968
2020-12-16,2.3968
2021-01-27,1.8152
2021-03-17,1.8152
2021-04-28,2.0238
2021-06-16,2.0238
2021-07-28,2.8681
2021-09-22,2.8681
2021-11-03,1.8629
2021-12-15,1.8629
2022-01-26,1.8465
2022-03-16,1.8465
2022-05-04,1.2801
2022-06-15,1.2801
2022-07-27,1.2088
2022-09-21,1.2088
2022-11-02,2.0676
2022-12-14,2.0676
2023-02-01,1.8663
2023-03-22,1.8663
2023-05-03,1.7629
2023-06-14,1.7629
2023-07-26,0.6562
2023-09-20,0.6562
2023-11-01,0.8234
2023-12-13,0.8234
2024-01-31,1.2626
2024-03-20,1.2626
2024-05-01,0.8882
2024-06-12,0.8882
2024-07-31,0.8106
2024-09-18,0.8106
2024-11-07,0.8106
