"Date","Document_word_count"
"1999/03/04",133
"1999/03/18",106
"1999/04/08",94
"1999/04/22",56
"1999/05/06",48
"1999/05/20",119
"1999/06/02",48
"1999/06/17",27
"1999/07/01",27
"1999/07/15",48
"1999/07/29",27
"1999/08/26",27
"1999/09/09",48
"1999/09/23",27
"1999/10/07",48
"1999/10/21",94
"1999/11/04",90
"1999/11/18",36
"1999/12/02",66
"1999/12/15",27
"2000/01/05",46
"2000/01/20",99
"2000/02/03",89
"2000/02/17",36
"2000/03/02",46
"2000/03/16",379
"2000/03/30",32
"2000/04/13",48
"2000/04/27",286
"2000/05/11",46
"2000/05/25",36
"2000/06/08",338
"2000/06/21",147
"2000/07/06",52
"2000/07/20",33
"2000/08/03",42
"2000/08/31",396
"2000/09/14",52
"2000/10/05",91
"2000/10/19",59
"2000/11/02",52
"2000/11/16",33
"2000/11/30",33
"2000/12/14",71
"2001/01/04",123
"2001/01/18",33
"2001/02/01",52
"2001/02/15",33
"2001/03/01",54
"2001/03/15",42
"2001/03/29",33
"2001/04/11",52
"2001/04/26",33
"2001/05/10",91
"2001/05/23",33
"2001/06/07",54
"2001/06/21",63
"2001/07/05",54
"2001/07/19",33
"2001/08/02",42
"2001/08/30",91
"2001/09/13",178
"2001/09/17",243
"2001/09/27",33
"2001/10/11",59
"2001/10/25",42
"2001/11/08",93
"2001/12/06",73
"2002/01/03",135
"2002/02/07",59
"2002/03/07",54
"2002/04/04",54
"2002/05/02",54
"2002/06/06",52
"2002/07/04",59
"2002/08/01",42
"2002/09/12",54
"2002/10/10",54
"2002/11/07",54
"2002/12/05",107
"2003/01/09",54
"2003/02/06",54
"2003/03/06",90
"2003/04/03",59
"2003/05/08",54
"2003/06/05",90
"2003/07/10",54
"2003/07/31",33
"2003/09/04",55
"2003/10/02",63
"2003/11/06",54
"2003/12/04",54
"2004/01/08",54
"2004/02/05",54
"2004/03/04",54
"2004/04/01",54
"2004/05/06",63
"2004/06/03",54
"2004/07/01",54
"2004/08/05",42
"2004/09/02",54
"2004/10/07",59
"2004/11/04",54
"2004/12/02",54
"2005/01/13",54
"2005/02/03",54
"2005/03/03",54
"2005/04/07",54
"2005/05/04",63
"2005/06/02",54
"2005/07/07",54
"2005/08/04",42
"2005/09/01",54
"2005/10/06",63
"2005/11/03",54
"2005/12/01",93
"2006/01/12",54
"2006/02/02",54
"2006/03/02",93
"2006/04/06",54
"2006/05/04",54
"2006/06/08",98
"2006/07/06",54
"2006/08/03",93
"2006/08/31",54
"2006/10/05",98
"2006/11/02",54
"2006/12/07",93
"2007/01/11",54
"2007/02/08",54
"2007/03/08",93
"2007/04/12",54
"2007/05/10",59
"2007/06/06",93
"2007/07/05",54
"2007/08/02",42
"2007/09/06",54
"2007/10/04",59
"2007/11/08",54
"2007/12/06",54
"2008/01/10",54
"2008/02/07",54
"2008/03/06",54
"2008/04/10",54
"2008/05/08",59
"2008/06/05",54
"2008/07/03",93
"2008/08/07",54
"2008/09/04",54
"2008/10/02",54
"2008/10/08",268
"2008/11/06",93
"2008/12/04",96
"2009/01/15",120
"2009/02/05",52
"2009/03/05",91
"2009/04/02",91
"2009/05/07",82
"2009/06/04",52
"2009/07/02",57
"2009/08/06",52
"2009/09/03",52
"2009/10/08",57
"2009/11/05",52
"2009/12/03",52
"2010/01/14",52
"2010/02/04",52
"2010/03/04",52
"2010/04/08",52
"2010/05/06",57
"2010/06/10",52
"2010/07/08",52
"2010/08/05",52
"2010/09/02",52
"2010/10/07",52
"2010/11/04",52
"2010/12/02",52
"2011/01/13",52
"2011/02/03",52
"2011/03/03",52
"2011/04/07",91
"2011/05/05",57
"2011/06/09",52
"2011/07/07",91
"2011/08/04",52
"2011/09/08",52
"2011/10/06",57
"2011/11/03",91
"2011/12/08",91
"2012/01/12",52
"2012/02/09",52
"2012/03/08",52
"2012/04/04",52
"2012/05/03",57
"2012/06/06",52
"2012/07/05",91
"2012/08/02",52
"2012/08/20",54
"2012/10/04",59
"2012/11/08",52
"2012/12/06",52
"2013/01/10",52
"2013/02/07",52
"2013/03/07",52
"2013/04/04",52
"2013/05/02",87
"2013/06/06",52
"2013/07/04",52
"2013/08/01",52
"2013/09/05",52
"2013/10/02",57
"2013/11/07",82
"2013/12/05",52
"2014/01/09",52
"2014/02/06",52
"2014/03/06",52
"2014/04/03",52
"2014/06/05",138
"2014/07/03",52
"2014/08/07",52
"2014/09/04",91
"2014/10/02",57
"2014/11/06",52
"2014/12/04",52
"2015/01/22",51
"2015/03/05",57
"2015/04/15",52
"2015/06/03",52
"2015/07/16",52
"2015/09/03",50
"2015/10/22",55
"2015/12/03",62
"2016/01/21",50
"2016/03/10",173
"2016/04/21",110
"2016/06/02",115
"2016/07/21",132
"2016/09/08",132
"2016/10/20",132
"2016/12/08",261
"2017/01/19",224
"2017/03/09",225
"2017/04/27",199
"2017/06/08",201
"2017/07/20",195
"2017/09/07",195
"2017/10/26",286
"2017/12/14",232
"2018/01/25",227
"2018/03/08",187
"2018/04/26",187
"2018/06/14",319
"2018/07/26",225
"2018/09/13",222
"2018/10/25",201
"2018/12/13",189
"2019/01/24",163
"2019/03/07",312
"2019/04/10",158
"2019/06/06",260
"2019/07/25",300
"2019/09/12",396
"2019/10/24",217
"2019/12/12",205
"2020/01/23",238
"2020/03/12",531
"2020/04/30",609
"2020/06/04",427
"2020/07/16",456
"2020/09/10",458
"2020/10/29",547
"2020/12/10",744
"2021/01/21",454
"2021/03/11",523
"2021/04/22",554
"2021/06/10",529
"2021/07/22",840
"2021/09/09",653
"2021/10/28",643
"2021/12/16",769
"2022/02/03",693
"2022/03/10",934
"2022/04/14",879
"2022/07/01",968
"2022/07/27",777
"2022/09/14",779
"2022/11/23",692
"2022/12/21",845
"2023/02/08",653
"2023/03/22",698
"2023/05/10",578
"2023/06/21",665
"2023/08/02",612
"2023/09/20",634
"2023/10/26",484
"2023/12/14",690
"2024/01/25",473
"2024/03/07",561
"2024/03/13",745
"2024/04/11",516
"2024/06/12",653
"2024/07/18",458
NA,57
