"Date","Document_word_count"
"1994-02-04",98
"1994-03-22",39
"1994-05-17",151
"1994-08-16",202
"1994-11-15",130
"1995-02-01",132
"1995-07-06",66
"1995-12-19",78
"1996-01-31",152
"1997-03-25",107
"1998-09-29",65
"1998-11-17",154
"1999-05-18",130
"1999-06-30",76
"1999-08-24",160
"1999-10-05",167
"1999-11-16",235
"1999-12-21",147
"2000-02-02",182
"2000-03-21",187
"2000-05-16",182
"2000-06-28",160
"2000-08-22",163
"2000-10-03",171
"2000-11-15",176
"2000-12-19",145
"2001-01-31",244
"2001-03-20",223
"2001-05-15",247
"2001-06-27",196
"2001-08-21",192
"2001-10-02",165
"2001-11-06",163
"2001-12-11",183
"2002-01-30",124
"2002-03-19",216
"2002-05-07",134
"2002-06-26",156
"2002-08-13",130
"2002-09-24",167
"2002-11-06",204
"2002-12-10",128
"2003-01-29",127
"2003-03-18",179
"2003-05-06",169
"2003-06-25",248
"2003-08-12",144
"2003-09-16",159
"2003-10-28",160
"2003-12-09",149
"2004-01-28",153
"2004-03-16",153
"2004-05-04",150
"2004-06-30",226
"2004-08-10",243
"2004-09-21",222
"2004-11-10",206
"2004-12-14",256
"2005-02-02",211
"2005-03-22",233
"2005-05-03",231
"2005-06-30",210
"2005-08-09",222
"2005-09-20",305
"2005-11-01",227
"2005-12-13",178
"2006-01-31",175
"2006-03-28",234
"2006-05-10",251
"2006-06-29",238
"2006-08-08",171
"2006-09-20",158
"2006-10-25",162
"2006-12-12",172
"2007-01-31",128
"2007-03-21",125
"2007-05-09",123
"2007-06-28",137
"2007-08-07",164
"2007-09-18",212
"2007-10-31",258
"2007-12-11",233
"2008-01-30",213
"2008-03-18",248
"2008-04-30",262
"2008-06-25",204
"2008-08-05",195
"2008-09-16",174
"2008-10-29",237
"2008-12-16",352
"2009-01-28",434
"2009-03-18",370
"2009-04-29",368
"2009-06-24",318
"2009-08-12",365
"2009-09-23",368
"2009-11-04",407
"2009-12-16",498
"2010-01-27",486
"2010-03-16",397
"2010-04-28",363
"2010-06-23",315
"2010-08-10",412
"2010-09-21",388
"2010-11-03",434
"2010-12-14",442
"2011-01-26",381
"2011-03-15",411
"2011-04-27",410
"2011-06-22",407
"2011-08-09",477
"2011-09-21",507
"2011-11-02",439
"2011-12-13",386
"2012-01-25",373
"2012-03-13",383
"2012-04-25",389
"2012-06-20",428
"2012-08-01",404
"2012-09-13",497
"2012-10-24",493
"2012-12-12",620
"2013-01-30",590
"2013-03-20",590
"2013-05-01",612
"2013-06-19",642
"2013-07-31",642
"2013-09-18",746
"2013-10-30",726
"2013-12-18",815
"2014-01-29",778
"2014-03-19",836
"2014-04-30",768
"2014-06-18",754
"2014-07-30",799
"2014-09-17",855
"2014-10-29",666
"2014-12-17",692
"2015-01-28",523
"2015-03-18",535
"2015-04-29",514
"2015-06-17",498
"2015-07-29",494
"2015-09-17",543
"2015-10-28",535
"2015-12-16",543
"2016-01-27",508
"2016-03-16",522
"2016-04-27",528
"2016-06-15",490
"2016-07-27",519
"2016-09-21",556
"2016-11-02",552
"2016-12-14",489
"2017-02-01",453
"2017-03-15",475
"2017-05-03",470
"2017-06-14",507
"2017-07-26",460
"2017-09-20",484
"2017-11-01",462
"2017-12-13",445
"2018-01-31",374
"2018-03-21",404
"2018-05-02",377
"2018-06-13",276
"2018-08-01",262
"2018-09-26",244
"2018-11-08",257
"2018-12-19",280
"2019-01-30",665
"2019-03-20",679
"2019-05-01",703
"2019-06-19",695
"2019-07-31",806
"2019-09-18",836
"2019-10-11",669
"2019-10-30",860
"2019-12-11",789
"2020-01-29",833
"2020-03-03",639
"2020-03-15",1115
"2020-03-23",546
"2020-04-29",750
"2020-06-10",777
"2020-07-29",797
"2020-09-16",891
"2020-11-05",805
"2020-12-16",825
"2021-01-27",824
"2021-03-17",821
"2021-04-28",819
"2021-06-16",874
"2021-07-28",914
"2021-09-22",863
"2021-11-03",1021
"2021-12-15",905
"2022-01-26",823
"2022-03-16",701
"2022-05-04",778
"2022-06-15",765
"2022-07-27",823
"2022-09-21",712
"2022-11-02",778
"2022-12-14",783
"2023-02-01",741
"2023-03-22",737
"2023-05-03",707
"2023-06-14",678
"2023-07-26",707
"2023-09-20",673
"2023-11-01",679
"2023-12-13",693
"2024-01-31",678
"2024-03-20",672
"2024-05-01",823
"2024-06-12",696
"2024-07-31",712
"2024-09-18",735
"2024-11-07",708
