"Date","Document_word_count"
"1994-03-25",9890
"1994-05-20",6214
"1994-07-08",4807
"1994-08-19",6508
"1994-09-30",4826
"1994-11-18",5005
"1994-12-22",5373
"1995-02-03",5246
"1995-03-31",7917
"1995-05-26",7381
"1995-07-07",4880
"1995-08-25",6757
"1995-09-29",4276
"1995-11-17",4789
"1995-12-22",4859
"1996-02-02",4761
"1996-03-29",7934
"1996-05-24",3936
"1996-07-05",4038
"1996-08-23",4930
"1996-09-27",3550
"1996-11-15",4445
"1996-12-20",4296
"1997-02-06",4327
"1997-03-27",7611
"1997-05-22",4361
"1997-07-03",4519
"1997-08-21",5360
"1997-10-02",4323
"1997-11-13",4128
"1997-12-18",4268
"1998-02-05",4096
"1998-04-02",7449
"1998-05-21",3969
"1998-07-02",4907
"1998-08-20",5377
"1998-10-01",4763
"1998-11-19",5202
"1998-12-23",6288
"1999-02-04",4465
"1999-04-01",7466
"1999-05-20",4135
"1999-07-01",4212
"1999-08-26",5487
"1999-10-07",5902
"1999-11-18",4263
"1999-12-23",4466
"2000-02-03",4484
"2000-03-23",6077
"2000-05-18",4250
"2000-06-29",3821
"2000-08-24",4011
"2000-10-05",3934
"2000-11-16",3504
"2000-12-21",4127
"2001-02-01",4164
"2001-03-22",6606
"2001-05-17",4091
"2001-06-28",4766
"2001-08-23",4699
"2001-10-04",4472
"2001-11-08",4148
"2001-12-13",4034
"2002-01-31",4258
"2002-03-21",5429
"2002-05-09",4356
"2002-06-27",3717
"2002-08-15",4006
"2002-09-26",3820
"2002-11-07",3615
"2002-12-12",4347
"2003-01-30",3096
"2003-03-20",5007
"2003-05-08",3463
"2003-06-26",3723
"2003-08-14",4723
"2003-09-18",3642
"2003-10-30",3747
"2003-12-11",3566
"2004-01-29",4073
"2004-03-18",8028
"2004-05-06",3683
"2004-07-01",4546
"2004-08-12",4281
"2004-09-23",3625
"2004-11-11",3857
"2004-12-16",3354
"2005-01-04",3772
"2005-02-23",6406
"2005-04-12",3899
"2005-05-24",3858
"2005-07-21",4012
"2005-08-30",2951
"2005-10-11",3126
"2005-11-22",3371
"2006-01-03",3227
"2006-02-21",5806
"2006-04-18",3699
"2006-05-31",4002
"2006-07-20",3799
"2006-08-29",3394
"2006-10-11",3409
"2006-11-15",4103
"2007-01-03",3781
"2007-02-21",6934
"2007-04-11",3817
"2007-05-30",3970
"2007-07-19",4382
"2007-08-28",4177
"2007-10-09",15972
"2007-11-20",5148
"2008-01-02",5675
"2008-02-20",8731
"2008-04-08",5661
"2008-05-21",6527
"2008-07-16",5516
"2008-08-26",4852
"2008-10-07",4293
"2008-11-19",7488
"2009-01-06",7127
"2009-02-18",9599
"2009-04-08",6167
"2009-05-20",5906
"2009-07-15",7854
"2009-09-02",6623
"2009-10-14",6875
"2009-11-24",6675
"2010-01-06",7305
"2010-02-17",9955
"2010-04-06",6108
"2010-05-19",6521
"2010-07-14",7442
"2010-08-31",6162
"2010-10-12",5543
"2010-11-23",6659
"2011-01-04",6217
"2011-02-16",9647
"2011-04-05",6322
"2011-05-18",7256
"2011-07-12",6556
"2011-08-30",6184
"2011-10-12",7704
"2011-11-22",7093
"2012-01-03",7048
"2012-02-15",10058
"2012-04-03",5879
"2012-05-16",6754
"2012-07-11",7337
"2012-08-22",6638
"2012-10-04",7184
"2012-11-14",6064
"2013-01-03",6935
"2013-02-20",10149
"2013-04-10",6961
"2013-05-22",6642
"2013-07-10",7846
"2013-08-21",6894
"2013-10-09",6887
"2013-11-20",7329
"2014-01-08",8294
"2014-02-19",11076
"2014-04-09",7800
"2014-05-21",5520
"2014-07-09",7312
"2014-08-20",7715
"2014-10-08",7786
"2014-11-19",8022
"2015-01-07",6242
"2015-02-18",11865
"2015-04-08",8085
"2015-05-20",7288
"2015-07-08",7737
"2015-08-19",8127
"2015-10-08",7150
"2015-11-18",7731
"2016-01-06",7305
"2016-02-17",11737
"2016-04-06",7387
"2016-05-18",8935
"2016-07-06",7985
"2016-08-17",9907
"2016-10-12",8562
"2016-11-23",8893
"2017-01-04",8022
"2017-02-22",11636
"2017-04-05",8648
"2017-05-24",8228
"2017-07-05",8050
"2017-08-16",7223
"2017-10-11",8378
"2017-11-22",7317
"2018-01-03",7121
"2018-02-21",11479
"2018-04-11",7049
"2018-05-23",7735
"2018-07-05",6906
"2018-08-22",8011
"2018-10-17",6864
"2018-11-29",7976
"2019-01-09",8045
"2019-02-20",13216
"2019-04-10",8824
"2019-05-22",9061
"2019-07-10",7965
"2019-08-21",9997
"2019-10-09",10330
"2019-11-20",12100
"2020-01-03",8125
"2020-02-19",12403
"2020-04-08",9516
"2020-05-20",8442
"2020-07-01",9536
"2020-08-19",8484
"2020-10-07",9566
"2020-11-25",8957
"2021-01-06",7741
"2021-02-17",11723
"2021-04-07",8202
"2021-05-19",8245
"2021-07-07",9045
"2021-08-18",10012
"2021-10-13",8292
"2021-11-24",7765
"2022-01-05",8849
"2022-02-16",12369
"2022-04-06",8144
"2022-05-25",7052
"2022-07-06",7420
"2022-08-17",7840
"2022-10-12",7240
"2022-11-23",7449
"2023-01-04",7177
"2023-02-22",8018
"2023-04-12",6904
"2023-05-24",7661
"2023-07-05",6567
"2023-08-16",6433
"2023-10-11",6120
"2023-11-21",6428
"2024-01-03",6395
"2024-02-21",6943
"2024-04-10",6832
"2024-05-22",6618
"2024-07-03",6087
"2024-08-21",6237
"2024-10-09",6186
"2024-11-26",6787
