"Date","Standardized_sentiment_score","Standardized_uncertainty_score"
"1-2 February 2023",1.03549990313392,-7.07320255028632
"1-2 June 2016",1.20910921342727,-7.03242679728256
"10-11 April 2024",1.10861590943584,-7.00158507178209
"10-11 March 2021",1.11448187482845,-7.02498288870633
"11-12 December 2019",1.12512514968225,-7.02708815186423
"11-12 March 2020",0.819879248042903,-7.07200618465111
"12-13 December 2018",1.02290292746003,-6.98486592964201
"12-13 September 2018",1.21778337753035,-6.94303751895284
"13 July 2023",0.97785242240952,-7.07576583781464
"13-14 April 2022",0.939167702873737,-7.00325836463019
"13-14 December 2017",1.20914121393928,-7.01367449724576
"13-14 December 2023",0.973057639133724,-7.0379742278136
"13-14 June 2018",1.2827507204585,-6.99265892811994
"14-15 April 2015",1.18064962520672,-7.10485038962647
"14-15 December 2022",0.975502883280657,-7.0728535594189
"14-15 June 2023",0.939528001732158,-7.04623253689097
"15 June 2022",0.884514462659347,-7.04647746484133
"15-16 December 2021",0.96895493691629,-7.13517325824721
"15-16 July 2015",1.1814765010336,-7.02925031402639
"15-16 July 2020",0.980125149682248,-7.07021315186423
"18 March 2020",0.967239687127181,-7.08955511221665
"18-19 January 2017",1.27655372111082,-7.08647590696627
"19-20 July 2017",1.20029423180785,-6.99993839341012
"19-20 October 2016",1.09832903317739,-7.13407844312637
"2-3 December 2015",1.02260586947659,-7.0586048613758
"2-3 February 2022",0.948267294320651,-7.02294850099141
"2-3 June 2015",1.15634466187737,-7.05814506243334
"2-3 September 2015",0.998910460416711,-7.05352882983033
"20-21 April 2016",1.13709793879789,-7.08817658723838
"20-21 January 2016",1.09649895159918,-7.03162489307829
"20-21 January 2021",1.1356807052378,-7.0962548185309
"20-21 July 2016",1.19790493307575,-7.11438057063679
"20-21 July 2022",1.01739951791329,-7.06022894608806
"21-22 April 2021",1.15449223828984,-7.0717295020752
"21-22 January 2015",1.02647591220948,-7.06425590785551
"21-22 July 2021",1.1131486330482,-7.04419187006384
"22 October 2015",0.98700434431312,-7.02816197736758
"22-23 January 2020",1.08070118654861,-7.08137386614994
"23-24 January 2019",0.916465355867815,-6.97533557454464
"23-24 October 2019",0.894598833892774,-7.08814078344318
"24-25 January 2018",1.33596627117757,-7.08671432008853
"24-25 January 2024",1.02440225811598,-7.03696766993652
"24-25 July 2019",0.931620876177974,-7.07648986126594
"24-25 October 2018",1.01118575574285,-6.97920936398544
"25-26 July 2018",1.21270090725801,-7.0337548185309
"25-26 October 2017",1.21640334517097,-7.04377988118754
"25-26 October 2023",1.02793574031361,-7.06158917019417
"26-27 April 2017",1.15179181634891,-7.03819926297534
"26-27 July 2023",1.01630048686915,-7.00485308442685
"27-28 October 2021",0.938820801856161,-7.04915336925553
"28-29 October 2020",0.959842130814323,-7.1092265166441
"29-30 April 2020",0.933357339655862,-7.07421216241832
"3-4 June 2020",1.02109737190447,-7.11535204075312
"3-4 May 2023",0.977209955335958,-7.03493267483243
"4-5 March 2015",1.127280838305,-7.0467288704271
"5-6 June 2019",1.02951539358469,-7.05489302991301
"5-6 June 2024",1.03845848301558,-7.00345178822787
"6-7 March 2019",0.959589435396533,-7.07244529472137
"6-7 March 2024",1.02685216918085,-7.02168425214278
"6-7 September 2017",1.23022975219271,-7.0198078171362
"7 July 2021",1.37606532062242,-7.136318921095
"7 October 2023",0.991263763543634,-7.02055349839888
"7-8 December 2016",1.26130492496315,-7.06746268369944
"7-8 June 2017",1.17351595427995,-6.94467435876078
"7-8 March 2018",1.15086158379077,-7.03117083920273
"7-8 September 2016",1.13745597674992,-7.11144905411987
"7-8 September 2022",0.879446652813771,-7.07063721240703
"8-9 June 2022",1.01048229253939,-6.98673100900709
"8-9 March 2017",1.11452112283661,-7.00131633978369
"8-9 September 2021",1.06445236680763,-7.02763861057983
"9-10 April 2019",0.911339838947784,-7.12415029875689
"9-10 December 2020",1.02806779307377,-7.10274899974453
"9-10 June 2021",1.07143531011005,-7.0542539272653
"9-10 March 2016",1.05276463466079,-7.09670188576981
"9-10 March 2022",0.971045975844038,-7.00392119833583
"9-10 September 2020",1.03390926878895,-7.08420973995356
