DATE,TIME PERIOD,Deposit facility - date of changes (raw data) - Level (FM.B.U2.EUR.4F.KR.DFR.LEV)
1999-01-01,1-Jan-99,2
1999-01-04,4-Jan-99,2.75
1999-01-22,22-Jan-99,2
1999-04-09,9-Apr-99,1.5
1999-11-05,5-Nov-99,2
2000-02-04,4-Feb-00,2.25
2000-03-17,17-Mar-00,2.5
2000-04-28,28-Apr-00,2.75
2000-06-09,9-Jun-00,3.25
2000-06-28,28-Jun-00,3.25
2000-09-01,1-Sep-00,3.5
2000-10-06,6-Oct-00,3.75
2001-05-11,11-May-01,3.5
2001-08-31,31-Aug-01,3.25
2001-09-18,18-Sep-01,2.75
2001-11-09,9-Nov-01,2.25
2002-12-06,6-Dec-02,1.75
2003-03-07,7-Mar-03,1.5
2003-06-06,6-Jun-03,1
2005-12-06,6-Dec-05,1.25
2006-03-08,8-Mar-06,1.5
2006-06-15,15-Jun-06,1.75
2006-08-09,9-Aug-06,2
2006-10-11,11-Oct-06,2.25
2006-12-13,13-Dec-06,2.5
2007-03-14,14-Mar-07,2.75
2007-06-13,13-Jun-07,3
2008-07-09,9-Jul-08,3.25
2008-10-08,8-Oct-08,2.75
2008-10-09,9-Oct-08,3.25
2008-10-15,15-Oct-08,3.25
2008-11-12,12-Nov-08,2.75
2008-12-10,10-Dec-08,2
2009-01-21,21-Jan-09,1
2009-03-11,11-Mar-09,0.5
2009-04-08,8-Apr-09,0.25
2009-05-13,13-May-09,0.25
2011-04-13,13-Apr-11,0.5
2011-07-13,13-Jul-11,0.75
2011-11-09,9-Nov-11,0.5
2011-12-14,14-Dec-11,0.25
2012-07-11,11-Jul-12,0
2013-05-08,8-May-13,0
2013-11-13,13-Nov-13,0
2014-06-11,11-Jun-14,-0.1
2014-09-10,10-Sep-14,-0.2
2015-12-09,9-Dec-15,-0.3
2016-03-16,16-Mar-16,-0.4
2019-09-18,18-Sep-19,-0.5
2022-07-27,27-Jul-22,0
2022-09-14,14-Sep-22,0.75
2022-11-02,2-Nov-22,1.5
2022-12-21,21-Dec-22,2
2023-02-08,8-Feb-23,2.5
2023-03-22,22-Mar-23,3
2023-05-10,10-May-23,3.25
2023-06-21,21-Jun-23,3.5
2023-08-02,2-Aug-23,3.75
2023-09-20,20-Sep-23,4
2024-06-12,12-Jun-24,3.75
2024-09-18,18-Sep-24,3.5
2024-10-23,23-Oct-24,3.25
