Date,VSTOXX.Price
1/4/1999,18.2
1/5/1999,29.69
1/6/1999,25.17
1/7/1999,32.52
1/8/1999,33.23
1/11/1999,36.84
1/12/1999,37.57
1/13/1999,39.74
1/14/1999,39.14
1/15/1999,38.67
1/19/1999,38.79
1/20/1999,35.55
1/21/1999,36.92
1/22/1999,39.94
1/25/1999,40.7
1/26/1999,42.75
1/27/1999,41.76
1/28/1999,39.15
1/29/1999,37.61
2/1/1999,37.03
2/2/1999,38.61
2/3/1999,39.96
2/4/1999,38.79
2/5/1999,37.81
2/8/1999,38.77
2/9/1999,39.55
2/10/1999,40.3
2/11/1999,37.83
2/12/1999,36.06
2/16/1999,36.01
2/17/1999,36.69
2/18/1999,35.56
2/19/1999,33.91
2/22/1999,32.09
2/23/1999,31.26
2/24/1999,30.78
2/25/1999,31.78
2/26/1999,30.8
3/1/1999,32.46
3/2/1999,32.03
3/3/1999,31.93
3/4/1999,30.88
3/5/1999,29.26
3/8/1999,29.86
3/9/1999,28.96
3/10/1999,27.95
3/11/1999,27.06
3/12/1999,26.98
3/15/1999,27.77
3/16/1999,27.49
3/17/1999,28.16
3/18/1999,28.17
3/19/1999,26.99
3/22/1999,27.14
3/23/1999,28.84
3/24/1999,29.9
3/25/1999,28.05
3/26/1999,28.57
3/29/1999,27.32
3/30/1999,27.23
3/31/1999,25.25
4/1/1999,24.61
4/5/1999,24.61
4/6/1999,24.61
4/7/1999,25.03
4/8/1999,24.91
4/9/1999,24.38
4/12/1999,25.29
4/13/1999,24.4
4/14/1999,25.47
4/15/1999,26.58
4/16/1999,25.74
4/19/1999,25.09
4/20/1999,26.79
4/21/1999,25.77
4/22/1999,25.25
4/23/1999,25.24
4/26/1999,25.78
4/27/1999,24.32
4/28/1999,24.47
4/29/1999,24.78
4/30/1999,23.74
5/3/1999,24.1
5/4/1999,24.47
5/5/1999,25.65
5/6/1999,26.95
5/7/1999,27.08
5/10/1999,27.31
5/11/1999,26.56
5/12/1999,27.59
5/13/1999,27.59
5/14/1999,28.31
5/17/1999,30.53
5/18/1999,30.83
5/19/1999,28.18
5/20/1999,25.34
5/21/1999,23.45
5/24/1999,23.45
5/25/1999,26.62
5/26/1999,26.66
5/27/1999,27.25
5/28/1999,25.57
6/1/1999,25.16
6/2/1999,25.21
6/3/1999,25.64
6/4/1999,23.38
6/7/1999,23.24
6/8/1999,23.13
6/9/1999,22.64
6/10/1999,23.46
6/11/1999,22.42
6/14/1999,23.37
6/15/1999,23.09
6/16/1999,21.77
6/17/1999,20.89
6/18/1999,21.1
6/21/1999,20.65
6/22/1999,21.02
6/23/1999,22.19
6/24/1999,22.78
6/25/1999,22.33
6/28/1999,23.05
6/29/1999,23.15
6/30/1999,23.34
7/1/1999,21.63
7/2/1999,20.42
7/6/1999,20.61
7/7/1999,21.32
7/8/1999,21.47
7/9/1999,20.73
7/12/1999,21.04
7/13/1999,22.48
7/14/1999,22.54
7/15/1999,20.11
7/16/1999,19.77
7/19/1999,19.92
7/20/1999,21.83
7/21/1999,24.26
7/22/1999,25.29
7/23/1999,25.62
7/26/1999,28.26
7/27/1999,27.44
7/28/1999,26.34
7/29/1999,28
7/30/1999,26.9
8/2/1999,28.07
8/3/1999,28.85
8/4/1999,29.65
8/5/1999,32.88
8/6/1999,32.15
8/9/1999,31.38
8/10/1999,32.7
8/11/1999,32.48
8/12/1999,29.41
8/13/1999,26.01
8/16/1999,26.97
8/17/1999,26.18
8/18/1999,26.7
8/19/1999,27.3
8/20/1999,25.81
8/23/1999,24.63
8/24/1999,24.99
8/25/1999,23.07
8/26/1999,22.78
8/27/1999,22.31
8/30/1999,23.23
8/31/1999,24.96
9/1/1999,24.47
