DATE,TIME PERIOD,Variance of forecasts
9/30/1999,1999Q3,0.099
12/31/1999,1999Q4,0.138
3/31/2000,2000Q1,0.073
6/30/2000,2000Q2,0.087
9/30/2000,2000Q3,0.097
12/31/2000,2000Q4,0.107
3/31/2001,2001Q1,0.09
6/30/2001,2001Q2,0.062
9/30/2001,2001Q3,0.068
12/31/2001,2001Q4,0.136
3/31/2002,2002Q1,0.167
6/30/2002,2002Q2,0.308
9/30/2002,2002Q3,0.306
12/31/2002,2002Q4,0.161
3/31/2003,2003Q1,0.222
6/30/2003,2003Q2,0.274
9/30/2003,2003Q3,0.136
12/31/2003,2003Q4,0.125
3/31/2004,2004Q1,0.211
6/30/2004,2004Q2,0.088
9/30/2004,2004Q3,0.1
12/31/2004,2004Q4,0.101
3/31/2005,2005Q1,0.078
6/30/2005,2005Q2,0.091
9/30/2005,2005Q3,0.059
12/31/2005,2005Q4,0.047
3/31/2006,2006Q1,0.102
6/30/2006,2006Q2,0.064
9/30/2006,2006Q3,0.049
12/31/2006,2006Q4,0.051
3/31/2007,2007Q1,0.074
6/30/2007,2007Q2,0.069
9/30/2007,2007Q3,0.082
12/31/2007,2007Q4,0.104
3/31/2008,2008Q1,0.056
6/30/2008,2008Q2,0.103
9/30/2008,2008Q3,0.117
12/31/2008,2008Q4,0.123
3/31/2009,2009Q1,0.18
6/30/2009,2009Q2,0.194
9/30/2009,2009Q3,0.887
12/31/2009,2009Q4,1.412
3/31/2010,2010Q1,0.565
6/30/2010,2010Q2,0.367
9/30/2010,2010Q3,0.252
12/31/2010,2010Q4,0.127
3/31/2011,2011Q1,0.164
6/30/2011,2011Q2,0.13
9/30/2011,2011Q3,0.073
12/31/2011,2011Q4,0.053
3/31/2012,2012Q1,0.094
6/30/2012,2012Q2,0.241
9/30/2012,2012Q3,0.413
12/31/2012,2012Q4,0.218
3/31/2013,2013Q1,0.258
6/30/2013,2013Q2,0.173
9/30/2013,2013Q3,0.203
12/31/2013,2013Q4,0.087
3/31/2014,2014Q1,0.151
6/30/2014,2014Q2,0.122
9/30/2014,2014Q3,0.084
12/31/2014,2014Q4,0.078
3/31/2015,2015Q1,0.076
6/30/2015,2015Q2,0.09
9/30/2015,2015Q3,0.048
12/31/2015,2015Q4,0.109
3/31/2016,2016Q1,0.062
6/30/2016,2016Q2,0.078
9/30/2016,2016Q3,0.029
12/31/2016,2016Q4,0.047
3/31/2017,2017Q1,0.07
6/30/2017,2017Q2,0.059
9/30/2017,2017Q3,0.035
12/31/2017,2017Q4,0.043
3/31/2018,2018Q1,0.033
6/30/2018,2018Q2,0.118
9/30/2018,2018Q3,0.049
12/31/2018,2018Q4,0.1
3/31/2019,2019Q1,0.076
6/30/2019,2019Q2,0.034
9/30/2019,2019Q3,0.055
12/31/2019,2019Q4,0.041
3/31/2020,2020Q1,0.074
6/30/2020,2020Q2,0.087
9/30/2020,2020Q3,0.068
12/31/2020,2020Q4,8.776
3/31/2021,2021Q1,6.044
6/30/2021,2021Q2,5.397
9/30/2021,2021Q3,1.541
12/31/2021,2021Q4,2.265
3/31/2022,2022Q1,1.147
6/30/2022,2022Q2,1.64
9/30/2022,2022Q3,1.607
12/31/2022,2022Q4,0.566
3/31/2023,2023Q1,0.625
6/30/2023,2023Q2,0.941
9/30/2023,2023Q3,0.327
12/31/2023,2023Q4,0.261
3/31/2024,2024Q1,0.152
6/30/2024,2024Q2,0.318
9/30/2024,2024Q3,0.186
12/31/2024,2024Q4,0.123
3/31/2025,2025Q1,0.244
6/30/2025,2025Q2,0.074
